HID_mun,fgt0_bias_reg,fgt0_mse,simulation,method_des
1011001,-.064532325,.0041679988747371,15,XGBoost(hh) Mun
1011002,-.20584166,.042398378644384,15,XGBoost(hh) Mun
1011003,-.21506426,.046268686622069,15,XGBoost(hh) Mun
1011004,-.20446989,.0418381391572334,15,XGBoost(hh) Mun
1011005,-.06831298,.0046749322094314,15,XGBoost(hh) Mun
1011006,-.11346053,.012884783798486,15,XGBoost(hh) Mun
1011007,-.19886839,.0395733169563204,15,XGBoost(hh) Mun
1011008,-.1626796,.0264852887211207,15,XGBoost(hh) Mun
1011009,-.18295415,.0334980050879232,15,XGBoost(hh) Mun
1011010,-.17857006,.0319183428300163,15,XGBoost(hh) Mun
1011011,-.08981207,.0080755349261217,15,XGBoost(hh) Mun
1021001,-.047193956,.0022323126079953,15,XGBoost(hh) Mun
1021002,-.043139163,.0018622629953736,15,XGBoost(hh) Mun
1021003,-.037942518,.0014425636031793,15,XGBoost(hh) Mun
1021004,-.033869036,.0011485426899929,15,XGBoost(hh) Mun
1021005,-.045052763,.0020334735343313,15,XGBoost(hh) Mun
1031001,-.076552458,.0058644270609763,15,XGBoost(hh) Mun
1031002,.00082906859,.0000154386025592,15,XGBoost(hh) Mun
1031003,-.025038064,.0006313968923908,15,XGBoost(hh) Mun
1031008,-.018704645,.0003520034068162,15,XGBoost(hh) Mun
1031009,-.029099466,.0008553643224679,15,XGBoost(hh) Mun
1041001,-.13705982,.018840688917792,15,XGBoost(hh) Mun
1041002,-.1144233,.0131036623328633,15,XGBoost(hh) Mun
1041003,-.067387119,.0045479263179427,15,XGBoost(hh) Mun
1041004,-.15059346,.0227262194675015,15,XGBoost(hh) Mun
1041005,-.089190796,.008008298581765,15,XGBoost(hh) Mun
1041006,-.24874677,.0620645219765589,15,XGBoost(hh) Mun
1041007,-.2679843,.0718626278566582,15,XGBoost(hh) Mun
1041008,-.16224115,.0263709653455672,15,XGBoost(hh) Mun
1041009,-.2199775,.0484356925896306,15,XGBoost(hh) Mun
1041010,-.24869791,.0619510133043355,15,XGBoost(hh) Mun
1041011,-.22747129,.0518356809800607,15,XGBoost(hh) Mun
1051002,-.08711011,.0075914762160063,15,XGBoost(hh) Mun
1051003,-.060571756,.0036738920806072,15,XGBoost(hh) Mun
1051004,-.087311804,.0076474342142592,15,XGBoost(hh) Mun
1051006,-.040285848,.0016355435707041,15,XGBoost(hh) Mun
1051007,-.095748998,.0091842657301384,15,XGBoost(hh) Mun
1051008,-.11235243,.0126901978270863,15,XGBoost(hh) Mun
1051009,-.15800172,.0249806528751593,15,XGBoost(hh) Mun
1051010,-.032980632,.0010906996421623,15,XGBoost(hh) Mun
1051011,-.11576836,.0134468233482846,15,XGBoost(hh) Mun
1051014,-.15266567,.0233274063733164,15,XGBoost(hh) Mun
1051017,-.11050353,.0122185504798964,15,XGBoost(hh) Mun
1051018,-.033283137,.0011100641035495,15,XGBoost(hh) Mun
1051019,-.071841352,.0051687784261157,15,XGBoost(hh) Mun
1051020,-.10196493,.0104020103182551,15,XGBoost(hh) Mun
1051021,-.058330033,.0034084876757966,15,XGBoost(hh) Mun
1051022,-.10080796,.0101665840991096,15,XGBoost(hh) Mun
1051023,-.051208306,.002667191034628,15,XGBoost(hh) Mun
1051024,-.14729036,.0217106889588461,15,XGBoost(hh) Mun
1051025,-.092896156,.0086332751167366,15,XGBoost(hh) Mun
1051026,-.050413348,.0025923141127309,15,XGBoost(hh) Mun
1051027,-.032843266,.0010823836481368,15,XGBoost(hh) Mun
1051028,-.049364962,.0024385487734384,15,XGBoost(hh) Mun
1051029,-.042876128,.0018642116730886,15,XGBoost(hh) Mun
1051030,-.037122257,.0013811016843886,15,XGBoost(hh) Mun
1051031,-.055263046,.0030567909346839,15,XGBoost(hh) Mun
1051032,-.071331434,.0050921422654007,15,XGBoost(hh) Mun
1051033,-.21671048,.0469844083390696,15,XGBoost(hh) Mun
1051034,-.046917774,.0022165858135612,15,XGBoost(hh) Mun
1051035,-.070621394,.0049892087416259,15,XGBoost(hh) Mun
1051036,-.2158217,.0466673966113382,15,XGBoost(hh) Mun
1051037,-.096324205,.009302077169469,15,XGBoost(hh) Mun
1051038,-.11689609,.0136723848073152,15,XGBoost(hh) Mun
1061001,-.15414564,.0237727508266533,15,XGBoost(hh) Mun
1061002,-.048067421,.0023120812035693,15,XGBoost(hh) Mun
1061003,-.059502963,.003552939292834,15,XGBoost(hh) Mun
1061004,-.081845202,.0067081470680681,15,XGBoost(hh) Mun
1061005,-.063819058,.0040746556029715,15,XGBoost(hh) Mun
1061006,-.13772532,.0189923162549171,15,XGBoost(hh) Mun
1061007,-.041154098,.0016967318872187,15,XGBoost(hh) Mun
1061008,-.091605633,.0084003435810122,15,XGBoost(hh) Mun
1061009,-.070375048,.0049700508522175,15,XGBoost(hh) Mun
1061010,-.038135733,.00145529959785,15,XGBoost(hh) Mun
1071001,-.3038491,.0924208518380857,15,XGBoost(hh) Mun
1071002,-.31481829,.0991429393363998,15,XGBoost(hh) Mun
1071003,-.25133106,.0632791480399133,15,XGBoost(hh) Mun
1071004,-.36461937,.1330837213394835,15,XGBoost(hh) Mun
1071005,-.31193075,.0977983521244039,15,XGBoost(hh) Mun
1071006,-.52335519,.2739822861169196,15,XGBoost(hh) Mun
1071007,-.4047049,.1645691227295838,15,XGBoost(hh) Mun
1071008,-.43865693,.1925252875075042,15,XGBoost(hh) Mun
1071009,-.22412995,.0502588899906426,15,XGBoost(hh) Mun
1071011,-.47382453,.2246921621466251,15,XGBoost(hh) Mun
1071012,-.14241824,.0203180734351087,15,XGBoost(hh) Mun
1071013,-.33984628,.1156125244788389,15,XGBoost(hh) Mun
1071014,-.42753842,.1831411726871018,15,XGBoost(hh) Mun
1071015,-.37467188,.1404508728426467,15,XGBoost(hh) Mun
1071016,-.39973101,.1598501108834888,15,XGBoost(hh) Mun
1071017,-.2606532,.0679763351174347,15,XGBoost(hh) Mun
1071018,-.50975847,.2601356563675485,15,XGBoost(hh) Mun
1071019,-.19101851,.0365225542797971,15,XGBoost(hh) Mun
1071020,-.47527093,.2259580424078131,15,XGBoost(hh) Mun
