variables,imp_1
hhsize,0.09465991
age_hh,0.013898753
male_hh,0.0022006214
piped_water,0.004415612
no_piped_water,0.003698357
no_sewage,0.0025983711
sewage_pub,0.17063712
sewage_priv,0.049382973
electricity,0.006419857
telephone,0.004408004
cellphone,0.10914311
internet,0.06922053
computer,0.10720248
washmachine,0.06271265
fridge,0.124984905
television,0.017543552
share_under15,0.021850727
share_elderly,0.0025718007
share_adult,0.05495503
max_tertiary,0.0590356
max_secondary,0.009280361
share_female,0.009179668
