HID,poor,gap,gap2,e_y,hhsize
1011001101,.0856353591160221,.0277653969567043,.0154164043728369,3748.758292856796,724
1011001102,.0757946210268949,.0208405574931621,.0083637668698918,2879.232281150911,818
1011001103,.141025641025641,.0363865794404261,.0150791728207634,2153.826209608986,702
1011001104,.1073384446878423,.0332147818128094,.0175291467225944,2935.845554548182,913
1011001105,.0839041095890411,.0323952810124379,.0182905099272954,2629.214047366625,584
1011001106,.0389500423370025,.011632012946654,.0070748678104699,3817.27434429327,1181
1011001107,.0640394088669951,.0209371106816815,.0107110069439518,3678.139576014627,1218
1011001108,.1017369727047146,.0215437639917469,.0084600308517534,2486.480155206496,806
1011001109,.0957575757575758,.0247195847061547,.0094645718329897,3935.821817183061,825
1011001110,.0848153214774282,.0340421276240929,.0199359662092842,2110.93433740201,731
1011001111,.0969479353680431,.0306089906168987,.014484922304052,2297.132854221967,1114
1011001112,.0295748613678373,.0126777738057311,.0078585626154642,4814.768945803264,541
1011001113,.0461783439490446,.0179013875876642,.0095266405920124,3634.896501115933,628
1011001114,.0298913043478261,.0074740941675017,.0052177101668442,4256.402180754647,1104
1011001115,.0632022471910112,.0177599107794296,.0093008259198827,2677.518257098252,712
1011001116,.078578110383536,.0219338601359259,.0091791103028373,2706.840041272098,1069
1011001117,.0969101123595506,.0244515684506532,.0079756371253118,2217.707866968733,712
1011001118,.1294885745375408,.0402819646597268,.0159227229729218,1747.76713653332,919
1011001119,.0814053127677806,.0253356465081834,.010898106972485,3893.053989701324,1167
1011001120,.0547520661157025,.0136142971594472,.0064812697554854,4978.872945028888,968
1011001121,.1154791154791155,.0258168642141276,.0076877659812957,3092.253070053363,407
1011001122,.0752688172043011,.0225849099604139,.0104644167224257,2761.991940706861,1116
1011001123,.0524193548387097,.0113571827838724,.0035239966748344,2460.206645565648,992
1011001124,.0666666666666667,.018523859706792,.007004596660845,3318.227882708925,825
1011001125,.030952380952381,.0074649080489984,.0027271873615259,3320.867456393772,1260
1011001126,.0947109471094711,.029550129235198,.0166119065061655,2219.159904451828,813
1011001127,.096989966555184,.0248043867972251,.0111398631567966,1997.143820806225,897
1011001128,.0535031847133758,.0110122165672339,.002651002781264,3301.714667020178,785
1011001129,.0407166123778502,.0140031732448926,.0059894403982726,2666.591211822211,614
1011001130,.0596363636363636,.015874831405553,.006190771757117,2431.087265935725,1375
1011001131,.1077257889009793,.0172493449713205,.0051473245978601,2135.244829644835,919
1011001132,.0427509293680297,.011705963479228,.0060808323590349,3163.73884809416,1076
1011001133,.0968360498561841,.0237931292211081,.0104507090850737,2034.929055818318,1043
1011001134,.1234428086070215,.0293917253292835,.0099989126812422,1878.821063792314,883
1011001135,.0944700460829493,.0202150267935837,.0084828026962704,2645.564517195507,1302
1011001136,.0717557251908397,.0136001782449147,.0035725126892527,1939.01220973357,655
1011001137,.0601503759398496,.0154626317546332,.0070127884747944,2943.880459468526,1330
1011001138,.0728269381362568,.0166398349548355,.0071798015628613,2944.433048687414,1277
1011001139,.0683690280065898,.0146245464987858,.0049082671795895,2493.607082762867,1214
1011001140,.0864,.0172085841724183,.006620680397514,3318.782403820801,1250
1011001141,.0763473053892216,.0173147189804537,.0055948314534062,2772.396707500526,668
1011001142,.0585106382978723,.0059046538579501,.0018040053774466,3332.219855017696,564
1011001143,.0388265746333046,.0149619950429955,.0076494830595434,3917.437449391902,1159
1011001144,.0567307692307692,.014161166921258,.0043239242236058,3782.944231238732,1040
1011001145,.1061394380853278,.0277914237701947,.0118369567723428,2506.57440531688,961
1011001146,.062962962962963,.0103795274481483,.0037002148558857,3700.244453317148,540
1011001147,.1713178294573643,.0408726743024696,.0162279707125587,1651.175198801913,1290
1011001148,.156701030927835,.0444303956729499,.0198654531614472,1672.081443928198,970
1011001149,.0315955766192733,.0069550063702356,.002008956864382,1926.240123007535,633
1011001150,.0625850340136054,.0161221962708419,.0078929604479762,3465.061905727257,1470
1011001151,.1638846737481032,.0368668345621153,.015884035509344,1505.088006073137,659
1011001152,.0731707317073171,.0198071203805917,.0078772693152592,3120.122969712668,984
1011002101,.0926216640502355,.0241373119945875,.009152955804857,1821.619308567496,1274
1011002102,.322503008423586,.1170720256902919,.0612479058331659,1183.583633661593,831
1011002103,.3547945205479452,.103718571327523,.0463044706253626,1584.198635007257,730
1011002104,.1726943942133816,.04067746466512,.0144209466555831,1347.915008268994,1106
1011002105,.2997076023391813,.0817902043630466,.0414989500576953,1195.188596067438,684
1011002106,.2873563218390804,.0856721298071349,.0350269919014697,1375.354406042574,1044
1011002107,.2896138482023968,.0885954977586683,.0386065968808864,1239.454062714558,1502
1011002108,.328476821192053,.0933808863849536,.0392286347814898,1102.102648208315,1510
1011002109,.335,.1057200385457691,.05071747688016,1124.760001831055,800
1011002110,.3162983425414365,.0947369569729649,.0440085671332084,1111.708563261928,724
1011002111,.2025401069518717,.0652411447537845,.0300885641257409,1705.620988733628,1496
1011003101,.1483704974271012,.0448809260679726,.0225572106411959,2012.973406220791,1166
1011003102,.1769165964616681,.0518749477788994,.0207145251432279,1802.558557724089,1187
1011003103,.2489307100085543,.099299140045553,.0531061446285762,1392.05047265437,1169
1011003104,.1826839826839827,.0652011890248073,.0327913761909452,2012.884847058053,1155
1011003105,.3235908141962422,.1055730671209545,.0561854474011092,1172.353859688395,958
1011003106,.2821128451380552,.0875796257716124,.0411695768565581,1341.28091103919,833
1011003107,.3070652173913043,.1061829580160955,.0516048922157101,1333.040757428045,736
1011003108,.3221757322175732,.1094165720765491,.0542941142209405,1223.519663648725,1195
1011003109,.2433566433566434,.0842409489663331,.0420980546133384,1376.359435629678,715
1011003110,.2775330396475771,.0933113256387314,.0438954442846414,1354.029369964824,1362
1011003111,.2058536585365854,.0535875534834965,.0224429335690761,1660.806828360209,1025
1011004101,.1715919923736892,.0538759412266935,.0274776919059376,1873.876071417184,1049
1011004102,.1408450704225352,.030863354550844,.0120210334603377,1701.750502926003,1491
1011004103,.2842954686530105,.0704554567943421,.0312476013443244,1117.72501365242,1611
1011004104,.2818840579710145,.0725384680813253,.0271169512888608,1409.119563868426,1380
1011004105,.3281952472703918,.095973953862969,.0463722788777416,1119.969815292799,1557
1011005101,.125,.0461459233684792,.0241844468124777,2025.038659970785,776
1011005102,.1069042316258352,.0341757620603908,.0196275135665823,2893.365253278567,898
1011005103,.0927684441197955,.0256451509079224,.0138719628423068,2050.008035268289,1369
1011005104,.0887728459530026,.0276148640985331,.0119033116927387,1849.019141772397,1149
1011005105,.0995893223819302,.0254561718625855,.0136464191487704,2792.620126367839,974
1011005106,.1133651551312649,.0222951118531956,.0060967490060541,2705.239864668015,838
1011005107,.111720356408499,.0360589971888315,.0194887567468567,3480.720362056029,1459
1011005108,.0652431791221827,.0105411566868905,.0052310190581816,1854.499406065664,843
1011005109,.0850202429149798,.0129709514765246,.0035453316096185,2668.750327168206,741
1011005110,.1395793499043977,.0345162660858505,.0152580215879492,2079.634800781484,1046
1011005111,.0967741935483871,.02549350097455,.0096477925577151,1951.409675056704,930
1011005112,.1124678663239075,.0341780028180966,.0160408292497228,1882.844476842022,1556
1011005113,.0439882697947214,.0160134547223444,.0066942156912469,4004.825519998053,682
1011005114,.0253807106598985,.0076663007661742,.0057836966883792,3879.94416057761,394
1011005115,.0255220417633411,.01176650134727,.0078926029004126,5893.334886838555,1293
1011006101,.1147169811320755,.0332519025349867,.0164154016794529,2180.798488009471,1325
1011006102,.121012101210121,.0238678751325932,.0117094864118752,2803.130925177479,909
1011006103,.0920598388952819,.0329659257060487,.0192040264492524,2182.159954496851,869
1011006104,.1920529801324503,.0433660579531977,.0165463669191403,1701.474619244371,906
1011006105,.0951492537313433,.0228018331994761,.0078962186328396,1777.542914632541,1072
1011006106,.0895334174022699,.0162111123058414,.004214916096103,1968.496848184554,793
1011006107,.0958702064896755,.0178009299110658,.0065164604483671,1917.949844810463,678
1011006108,.0757701915070774,.0177798057942631,.0077414506314984,2432.331396504703,1201
1011006109,.1051779935275081,.0219835309890245,.0099794906743912,1866.985441337511,618
1011006110,.0766423357664234,.0115821461064102,.0028580355931271,2247.195257924769,548
1011006111,.2347771500313873,.0621182034108937,.0244174321270555,1381.562459271581,1593
1011006112,.2051851851851852,.0601292186179328,.0232399616569607,1367.279259632252,1350
1011006113,.2169086251067464,.0427953404716956,.0159880515528868,1852.653289039149,1171
1011007101,.1579754601226994,.0578408311958124,.0334747226962259,2508.549085406438,652
1011007102,.1611526147278549,.0439094912577341,.0202367051788368,2224.323373295836,937
1011007103,.3511953833470734,.1109978557801228,.0608699464744931,1508.605117087116,1213
1011007104,.1796636085626911,.0471067852964991,.0191678133681904,1946.680427761253,1308
1011007105,.1906816220880069,.0514649330870426,.0240682402765113,1777.799828319533,1159
1011007106,.1300940438871473,.0307492246585559,.0130622267567873,2004.658315772173,638
1011007107,.2130730050933786,.0501122137665842,.022030960886441,1449.887946227613,1178
1011007108,.3142174432497013,.1004291994122099,.0487894810516712,1338.320193282735,1674
1011007109,.2193236714975846,.0636739349647612,.0292233388590001,1437.787439657755,1035
1011007110,.2538955087076077,.0855733698008441,.0451569339912872,1401.325387729187,1091
1011007111,.2903225806451613,.0781385021430322,.033393754949539,1189.19260158575,2108
1011008101,.1056629834254144,.0312822131044569,.0151137951589229,2056.717541663028,1448
1011008102,.1759379042690815,.0464843103734347,.0215146190507238,1748.532989008461,773
1011008103,.2269272529858849,.0573653544631866,.0266956120637019,1435.287731605555,921
1011008104,.2221030042918455,.0733377144374006,.0376944226915559,1521.311158683679,932
1011008105,.3872611464968153,.1360353966543501,.0753775171074257,1022.779615968352,785
1011009101,.2079343365253078,.0642897469825994,.0300411639577661,1418.028719003158,731
1011009102,.1878238341968912,.0578726784218995,.029985353529938,1494.009064669475,772
1011009103,.2473029045643154,.0724124489667298,.0342429316798975,1474.632363549716,1205
1011009104,.2077580539119001,.0691344225416574,.0396385399797389,1505.491780333128,1521
1011009105,.3513274336283186,.123756775458264,.0641519396057685,1249.169024536673,1130
1011009106,.2784636488340192,.0865125297061318,.0460225368126236,1336.942385418425,729
1011009107,.1224256292906178,.0510108581701444,.035122292520906,1850.521736481097,874
1011009108,.2115646258503401,.0627830270790459,.0304290833219512,1471.984352890367,1470
1011010101,.2213633169360506,.071699220175983,.0353484468856505,1517.718202635206,1423
1011010102,.1890881913303438,.0572812126748704,.0264128132099823,1612.273545680025,1338
1011010103,.242,.0739029885098183,.0326885922553449,1378.49466696167,1500
1011010104,.2818733738074588,.0892035433222784,.045087258426738,1256.820468717312,1153
1011010105,.2786610878661088,.0900978929373177,.0420059188940504,1335.824266199088,1195
1011010106,.2179042331714088,.0526165408676097,.0226605731805561,1406.98056847219,1441
1011011101,.1150568181818182,.0222866959747989,.0120855136358556,2192.977276628668,704
1011011102,.1209386281588448,.0244040145359974,.0105468064810475,1882.222020035616,1108
1011011103,.0945121951219512,.0246888670462647,.0103087370168597,1787.502034226084,984
1011011104,.1080669710806697,.0267334867112783,.012376254138241,2344.706245039152,657
1011011105,.1275252525252525,.0243126264841439,.0101203393483811,2371.041670558428,792
1011011106,.1160220994475138,.0230116703231897,.0072353495461295,1793.739410793803,1086
1011011107,.1251518833535845,.0265087482144882,.0098372980105529,1637.70351859518,823
1011011108,.1441090555014606,.029547371925858,.0095892843620339,2084.619280375896,1027
1011011109,.1126760563380282,.0339657362928164,.01845991080643,1897.738968884105,1065
1011011110,.1276864728192162,.0306921893398586,.0122279311507741,1706.423512918156,791
1011011111,.1027496382054993,.0241524853599399,.008405671320861,2024.260490406439,691
1011011112,.101511879049676,.018224551225541,.0056862282224038,2394.414683199856,926
1011011113,.0367088607594937,.0043577611123291,.0012316012918222,2292.312661704534,790
1011011114,.1251862891207154,.0322641661529372,.0150408593546243,1917.26825078518,671
1011011115,.0480961923847695,.0190792035139754,.0121950877750832,4831.08216608695,998
1021001101,.0588822355289421,.0247317876657432,.0148972157093982,3776.678646666323,1002
1021001102,.0659163987138264,.0246204185116904,.0121353678180689,2844.879417542093,622
1021001103,.0512367491166078,.0124754441704382,.0069863013173416,4143.125446009552,566
1021001104,.0453367875647668,.0131630154353023,.0058235216606738,3716.481860679666,772
1021001105,.0183946488294314,.006690523397165,.0028185418317948,2638.192302589034,598
1021001106,.0393700787401575,.0115772031593093,.0052617120808919,4335.294834220399,1143
1021001107,.036480686695279,.0170803045766036,.010106903544823,2900.73605592261,466
1021001108,.0789022298456261,.0123428758056317,.0034145732613596,3697.596069440629,1166
1021001109,.0405244338498212,.0133515609887843,.0056970653071982,3029.12992042296,839
1021001110,.0499569336778639,.0150768292734059,.0078617556698793,3341.931098129706,1161
1021001111,.0517676767676768,.0181590869719315,.0096391681916487,3719.095956975763,792
1021001112,.056657223796034,.0168597524056987,.0093476917418564,3909.36826880998,706
1021001113,.0509138381201044,.0081543986481239,.0027051246755021,2405.037850880436,766
1021001114,.0425055928411633,.0139836682552593,.0060891037206822,3083.139817615483,894
1021001115,.0233009708737864,.00873786448275,.0036692518234542,3378.188350877484,1030
1021001116,.0312056737588652,.0044015304371632,.0010112017954116,3263.185810408355,705
1021001117,.0580357142857143,.0124287886511801,.0049925586254176,3086.756698846817,896
1021001118,.0429362880886427,.0088696933186267,.0041781859681585,3742.162056286249,722
1021001119,.0910530482977039,.0267272623126022,.0108779370551319,2436.553448022403,1263
1021001120,.0826271186440678,.0137390725280889,.0056561569967653,2427.942795252396,944
1021001121,.08,.0268103693106345,.0133590479406329,2362.678575265067,700
1021001122,.2675438596491228,.0858274465926674,.0428033216835463,1847.665788914865,1140
1021001123,.1470230862697448,.036723470970085,.015554540521821,2126.992710229403,823
1021001124,.0855555555555556,.015390755753906,.0048374608924151,2041.026664089627,900
1021001125,.1228070175438596,.0175929589685724,.0050962408425655,2063.754384310052,627
1021001126,.0809968847352025,.0164263397173697,.0067447694540246,2396.510902986998,1284
1021001127,.0516483516483516,.0138961793093656,.0091519861946308,2993.381319821601,910
1021002101,.0449050086355786,.0096795823753189,.0027015712176528,3252.592393417227,579
1021002102,.103207810320781,.0267230808545171,.0125645958515099,3375.903773351693,717
1021002103,.0703275529865125,.0174052974749265,.0076968690813298,4079.938338057384,1038
1021002104,.0308166409861325,.0044679822945427,.0012498211340427,4371.325125437121,649
1021002105,.0174672489082969,.0056774673503559,.0019437205453106,3448.676863891068,458
1021002106,.0168224299065421,.0106107897917244,.0097153057665216,5349.809357203279,1070
1021002107,.0737207285342585,.015777305213601,.0078596032759088,2342.711189660422,1153
1021002108,.0889423076923077,.0244135027578872,.0096924093354558,3680.788460878226,832
1021002109,.0336605890603086,.0096770275919649,.0053180635535368,3562.628329968553,713
1021002110,.0378657487091222,.0068894986540825,.0028466613884178,4943.974184860256,581
1021002111,.0497572815533981,.0157982094663134,.0072358474344125,4060.040047210397,824
1021002112,.0891812865497076,.0333932053668109,.0165383429184817,4732.940059751098,684
1021002113,.0566706021251476,.0201181969753826,.0108280789086193,3542.417944429616,847
1021002114,.145979020979021,.0442603716727609,.020763054477316,2245.826051525329,1144
1021002115,.065,.0202326272202117,.0094799005175793,3434.957503700256,800
1021002116,.0493827160493827,.0114454744322291,.0050917078040389,3940.385456603251,729
1021002117,.0228928199791883,.0035420583093948,.0006994775763658,3541.328825475274,961
1021002118,.0306324110671937,.0088955859097803,.0034074289356119,3022.014821651896,1012
1021002119,.0554511278195489,.0138969752711672,.0071893607574943,2881.321431669077,1064
1021002120,.0663129973474801,.0141471866723221,.004959969568231,2893.35676708272,754
1021002121,.0447368421052632,.0126178324456161,.0057815874979581,3780.671050168757,1140
1021002122,.0165441176470588,.0022069116753033,.0004743472054543,3665.873150881599,544
1021002123,.045016077170418,.0117309359795666,.00527702713231,4700.305469378014,933
1021002124,.0350282485875706,.005923772006168,.0022582232049391,2860.743502686926,885
1021002125,.0419426048565121,.0091111089121427,.0024078710190489,2542.857617982439,906
1021002126,.0455341506129597,.0119128532639086,.0056875621099814,3272.236424167185,571
1021002127,.0089399744572158,.0049977603238813,.0034782863097173,4640.711357340807,783
1021002128,.032967032967033,.0033059297300084,.0005231088994501,2432.963375776242,546
1021002129,.0543881334981459,.0080415301344876,.002047208984338,4526.185422390441,809
1021002130,.0358744394618834,.0040414177148599,.0006127369487261,3101.501125523862,892
1021002131,.0898082744702321,.0231764062893258,.0097982700828155,2307.450050423292,991
1021002132,.0255972696245734,.0039613690646842,.0012859317244415,2784.532420812614,586
1021002133,.0225225225225225,.0090090098144772,.0036036041942803,5140.653140231296,222
1021002134,0,0,0,5546.293662257926,756
1021002135,.0297723292469352,.0079160354078964,.0023127509290825,3920.201400783559,571
1021002136,.0217785843920145,.0059906347179802,.0026759883987222,5011.206911948978,551
1021002137,.0550887021475257,.0085997716520989,.0029481348146688,5039.797396334836,1071
1021002138,.0113636363636364,.0045422747956984,.0018156433308666,4158.047355305065,528
1021002139,.0288739172281039,.0178886306067862,.0142792666526341,4719.483161882212,1039
