mimun,census_hhsize,census_age_hh,census_male_hh,census_piped_water,census_no_piped_water,census_no_sewage,census_sewage_pub,census_sewage_priv,census_electricity,census_telephone,census_cellphone,census_internet,census_automobile,census_computer,census_washmachine,census_fridge,census_television,census_share_under15,census_share_elderly,census_share_adult,census_max_tertiary,census_max_secondary,census_share_female,gis_arvimin,gis_arvimax,gis_arvimean,gis_arvisum,gis_arvistddev,gis_baeimin,gis_baeimax,gis_baeimean,gis_baeisum,gis_baeistddev,gis_bimin,gis_bimax,gis_bimean,gis_bisum,gis_bistddev,gis_brbamin,gis_brbamax,gis_brbamean,gis_brbasum,gis_brbastddev,gis_bumin,gis_bumax,gis_bumean,gis_busum,gis_bustddev,gis_evimin,gis_evimax,gis_evimean,gis_evisum,gis_evistddev,gis_ibimin,gis_ibimax,gis_ibimean,gis_ibisum,gis_ibistddev,gis_mndwimin,gis_mndwimax,gis_mndwimean,gis_mndwisum,gis_mndwistddev,gis_nbaimin,gis_nbaimax,gis_nbaimean,gis_nbaisum,gis_nbaistddev,gis_nbimin,gis_nbimax,gis_nbimean,gis_nbisum,gis_nbistddev,gis_ndbimin,gis_ndbimax,gis_ndbimean,gis_ndbisum,gis_ndbistddev,gis_ndvimin,gis_ndvimax,gis_ndvimean,gis_ndvisum,gis_ndvistddev,gis_ndwimin,gis_ndwimax,gis_ndwimean,gis_ndwisum,gis_ndwistddev,gis_srmin,gis_srmax,gis_srmean,gis_srsum,gis_srstddev,gis_uimin,gis_uimax,gis_uimean,gis_uisum,gis_uistddev,gis_ndsimin,gis_ndsimax,gis_ndsimean,gis_ndsisum,gis_ndsistddev,gis_varimin,gis_varimax,gis_varimean,gis_varisum,gis_varistddev,gis_savimin,gis_savimax,gis_savimean,gis_savisum,gis_savistddev,gis_osavimin,gis_osavimax,gis_osavimean,gis_osavisum,gis_osavistddev,gis_ndmimin,gis_ndmimax,gis_ndmimean,gis_ndmisum,gis_ndmistddev,gis_mdeamin,gis_mdeamax,gis_mdeamean,gis_mdeasum,gis_mdeastddev,gis_mdepmin,gis_mdepmax,gis_mdepmean,gis_mdepsum,gis_mdepstddev,hhid,estado,municipio,gis_ntl_count_2014,gis_ntl_area_2014,gis_ntl_min_2014,gis_ntl_max_2014,gis_ntl_range_2014,gis_ntl_mean_2014,gis_ntl_std_2014,gis_ntl_sum_2014,gis_ntl_median_2014,gis_ntl_pct90_2014,gis_ntl_count_2016,gis_ntl_area_2016,gis_ntl_min_2016,gis_ntl_max_2016,gis_ntl_range_2016,gis_ntl_mean_2016,gis_ntl_std_2016,gis_ntl_sum_2016,gis_ntl_median_2016,gis_ntl_pct90_2016,gis_ntl_count_2017,gis_ntl_area_2017,gis_ntl_min_2017,gis_ntl_max_2017,gis_ntl_range_2017,gis_ntl_mean_2017,gis_ntl_std_2017,gis_ntl_sum_2017,gis_ntl_median_2017,gis_ntl_pct90_2017,gis_ntl_count_2018,gis_ntl_area_2018,gis_ntl_min_2018,gis_ntl_max_2018,gis_ntl_range_2018,gis_ntl_mean_2018,gis_ntl_std_2018,gis_ntl_sum_2018,gis_ntl_median_2018,gis_ntl_pct90_2018,gis_ntl_count_2019,gis_ntl_area_2019,gis_ntl_min_2019,gis_ntl_max_2019,gis_ntl_range_2019,gis_ntl_mean_2019,gis_ntl_std_2019,gis_ntl_sum_2019,gis_ntl_median_2019,gis_ntl_pct90_2019,gis_ntl_count_2020,gis_ntl_area_2020,gis_ntl_min_2020,gis_ntl_max_2020,gis_ntl_range_2020,gis_ntl_mean_2020,gis_ntl_std_2020,gis_ntl_sum_2020,gis_ntl_median_2020,gis_ntl_pct90_2020,gis_ntl_count_2021,gis_ntl_area_2021,gis_ntl_min_2021,gis_ntl_max_2021,gis_ntl_range_2021,gis_ntl_mean_2021,gis_ntl_std_2021,gis_ntl_sum_2021,gis_ntl_median_2021,gis_ntl_pct90_2021
1011001,-.39270183,-.65626454,-.32798183,.71371871,-.70391488,-.77647132,1.3169228,-1.3083571,.72130233,1.4536105,1.1264966,1.9276987,,2.1026449,1.270687,.99715,.80699843,-.27925113,-.97714597,.96309292,1.6710497,-.90030491,.28815609,-.60000002,.84100002,.2,262373.06,.133,.125,1.09,.31200001,408246.97,.056000002,-.43799999,1.1289999,.107,140219.69,.078000002,.16500001,9.5450001,.43900001,574498.44,.178,-1.35,.50099999,-.28400001,-372321.69,.185,-900,160,.792,1036534,.96399999,-.73799998,.38,.057,74493.297,.075000003,-.70300001,.84200001,-.458,-599033.56,.1,.98699999,1,.99699998,1305178,.001,-2.9219999,3.276,-.653,-854339.88,.183,-.79400003,.58099997,.061999999,80671.688,.094999999,-.57099998,.85500002,.34599999,452993.38,.117,-.78399998,.63700002,-.40700001,-532639.31,.097000003,.273,12.781,2.191,2868247,.83099997,-.833,.33700001,-.093999997,-123595.03,.118,-.70300001,.84200001,-.458,-599033.56,.1,-.414,.60900003,-.102,-133987.75,.061999999,-.85600001,1.2819999,.51899999,679390.38,.176,-.57099998,.85500002,.34599999,452972.13,.117,-.58099997,.79400003,-.061999999,-80671.688,.094999999,1761,2446,1927.703,2523386033,78.072998,0,67.253998,3.3529999,4388541.5,4.0780001,10010000001,1,1,5938,.10309028,.11433798,79.534889,79.420547,5.5496712,11.693499,32953.945,.68161756,23.942551,5938,.10309028,.072992429,90.563057,90.490067,5.6253061,11.742103,33403.07,.70601147,24.58852,5938,.10309028,.29974365,96.531631,96.231888,6.3025956,12.632104,37424.813,.98677289,26.757534,5938,.10309028,.28891259,130.30388,130.01497,6.7028589,13.557666,39801.574,1.0097721,29.150826,5938,.10309028,.2339334,114.93661,114.70267,7.407867,15.181671,43987.914,.99769425,33.232529,5938,.10309028,.35414547,107.9902,107.63605,8.4354019,16.959261,50089.418,1.2451621,36.501549,5938,.10309028,.37753427,128.93614,128.55861,9.7723274,19.612833,58028.078,1.3859456,42.077946
1011002,1.1618668,-.75102687,.69377631,.68733919,-.68391848,-.4449648,.98385346,-.98129201,.41924849,-.37098452,.2326843,-.35137689,,-.04409036,.9176932,.54311949,.67402333,1.2554739,-1.0523529,-.68043703,-.56356329,1.9570282,-.016483467,-.53299999,.82999998,.16,97544.18,.123,.15000001,.97000003,.322,196437.05,.041999999,-.52899998,.57099998,.126,76593.727,.074000001,.17299999,6.8509998,.44600001,272113.72,.17399999,-1.434,.61500001,-.25099999,-152884.28,.17399999,-16.431999,130.69,.67799997,413689.38,.34599999,-.56800002,.433,.071000002,43327.609,.068999998,-.73400003,.75800002,-.46700001,-284810.22,.071000002,.98900002,1,.99699998,608367.38,.001,-4.237,2.3269999,-.65399998,-399237.09,.142,-.64499998,.67400002,.072999999,44596.438,.086999997,-.465,.84399998,.324,197480.72,.102,-.76099998,.56300002,-.40599999,-247838.36,.075999998,.36500001,11.839,2.0539999,1252902.5,.704,-.80299997,.237,-.071999997,-44148.34,.112,-.73400003,.75800002,-.46700001,-284810.22,.071000002,-.30700001,.35699999,-.13500001,-82054.344,.061999999,-.69700003,1.266,.486,296180.56,.153,-.465,.84399998,.324,197472.08,.102,-.67400002,.64499998,-.072999999,-44596.438,.086999997,1940,2659,2068.6411,1261883710,79.380997,0,43.265999,2.7920001,1703281.8,4.0359998,10020000001,1,2,2761,.047934029,.11059541,20.685083,20.574488,.84569955,1.5780901,2334.9763,.34097803,1.8740569,2761,.047934029,.082013823,20.544193,20.462179,.88502514,1.644344,2443.5544,.32295585,2.2009106,2761,.047934029,.30902562,19.905632,19.596607,1.2308679,1.8018709,3398.426,.59315532,2.8038177,2761,.047934029,.30318326,20.51329,20.210108,1.2266468,1.8343585,3386.7717,.60694331,2.707422,2761,.047934029,.25278896,21.620029,21.367241,1.1572049,1.8335747,3195.0425,.55465144,2.5268629,2761,.047934029,.36327112,22.822834,22.459562,1.1956512,1.6634077,3301.1929,.67469698,2.3807201,2761,.047934029,.38221085,20.594351,20.212139,1.2622117,1.7366087,3484.9663,.70792729,2.5442734
1011003,.24957375,.022898538,.32690635,.70991063,-.69842178,-.76481599,1.1918637,-1.1814837,.59743339,1.1259325,.34012723,.20918213,,.26318577,1.2623385,.94874567,.78016931,.35047427,.012677618,-.40914759,-.57419717,1.0662732,-.13708557,-.68199998,.80900002,.338,349975.84,.131,.155,1.0650001,.27200001,282113.91,.044,-.42899999,.255,.046999998,49054.688,.079000004,.19,11.299,.368,381795.78,.16,-1.3200001,.237,-.472,-489550.09,.185,-750,580,1.098,1138104.1,1.326,-.68699998,.19499999,.0049999999,5377.4751,.068999998,-.64200002,.81099999,-.50300002,-521547.72,.07,.958,1,.995,1031608.6,.0020000001,-1.188,3.188,-.63599998,-658794.25,.14,-.75300002,.26100001,-.0040000002,-4483.5679,.089000002,-.56999999,.84399998,.46799999,485066.53,.11,-.79400003,.54100001,-.50400001,-522234.5,.086000003,.27399999,11.848,2.9360001,3042941.3,.90700001,-.80900002,.23999999,-.207,-214766.52,.117,-.64200002,.81099999,-.50300002,-521547.72,.07,-.338,.37099999,-.064000003,-66607.945,.057999998,-.85399997,1.266,.70200002,727472.63,.16500001,-.56999999,.84399998,.46799999,485039.41,.11,-.26100001,.75300002,.0040000002,4483.5679,.089000002,1528,2871,2030.389,2104185087,272.94101,0,57.584999,12.281,12727098,8.9610004,10030000001,1,3,4692,.081458338,.063379206,41.779991,41.716614,.50062102,1.8402042,2348.9138,.13981876,.65393978,4692,.081458338,.015727548,30.168871,30.153143,.4201057,1.5883321,1971.136,.09803351,.59088367,4692,.081458338,.2318753,33.501053,33.269176,.63814527,1.5845524,2994.1775,.31836253,.81714147,4692,.081458338,.22975606,40.190491,39.960735,.62498301,1.6313362,2932.4202,.3169764,.77636623,4692,.081458338,.17845353,36.550365,36.37191,.57479608,1.6223019,2696.9431,.25951287,.73898208,4692,.081458338,.27801967,34.139042,33.861023,.70083463,1.6053063,3288.3162,.38194931,.88569915,4692,.081458338,.29837266,33.361774,33.0634,.72548765,1.6045275,3403.988,.39272797,.93653864
1011004,1.3905418,-.28489235,1.052509,.76075101,-.76279724,-.70135921,1.3236141,-1.317741,.59147322,-.45878586,.41074944,-.49385434,,-.076024473,.90350729,.69371349,.72944599,1.1868286,-.87834537,-.72423005,-.083351761,1.7796488,.17155549,-.34799999,.77999997,.184,26554.283,.113,.16599999,.88499999,.31600001,45612.402,.035,-.30599999,.23999999,.113,16305.096,.068000004,.22,2.75,.43200001,62239.48,.074000001,-1.161,.146,-.28799999,-41489.238,.16500001,-1.406,3.152,.72399998,104370.95,.264,-.47499999,.19,.059999999,8630.0303,.061999999,-.62599999,.426,-.472,-68116.805,.048,.991,1,.99699998,143772.52,.001,-1.048,.91100001,-.64499998,-92994.367,.108,-.55900002,.236,.059,8439.2021,.078000002,-.226,.80900002,.34599999,49928.441,.094999999,-.73400003,.233,-.42399999,-61099.254,.071000002,.63099998,9.4899998,2.152,310213.06,.68099999,-.68300003,.208,-.090999998,-13180.814,.103,-.62599999,.426,-.472,-68116.805,.048,-.30000001,.37400001,-.12899999,-18546.498,.057,-.33899999,1.214,.51899999,74882.602,.142,-.226,.80900002,.34599999,49926.293,.094999999,-.236,.55900002,-.059,-8439.2021,.078000002,1930,2357,2024.879,291920800,95.943001,0,45.391998,4.1059999,591957.81,6.6290002,10040000001,1,4,657,.01140625,.12769455,33.8591,33.731407,1.2247196,2.8488493,804.64081,.39890096,2.9549854,657,.01140625,.072434068,27.040041,26.967607,1.0226133,2.2703087,671.85693,.35446343,2.5321677,657,.01140625,.31283647,27.323866,27.01103,1.3226137,2.3485105,868.95721,.627832,2.7613401,657,.01140625,.29171291,27.525507,27.233793,1.4013726,2.6046064,920.70172,.6335004,2.911247,657,.01140625,.23543108,26.274963,26.039532,1.4154718,2.5978684,929.96503,.58721942,3.2789838,657,.01140625,.35470572,30.223932,29.869226,1.5792437,2.7493403,1037.5631,.7193765,3.5697553,657,.01140625,.37494814,30.090828,29.715879,1.6588231,2.787133,1089.8468,.74663121,3.7344496
1011005,.22397189,-1.6106344,.86659652,.69510251,-.68942064,-.76932853,1.2286304,-1.2226436,.61371058,1.1606859,1.0855249,1.4070824,,1.6947212,1.2317567,.88563126,.75079358,.92395133,-1.5559703,.025721399,1.3884156,-.81554872,-.16169296,-.67699999,.81800002,.23199999,129987.98,.117,.156,1.021,.296,166378.66,.046,-.42699999,.44999999,.104,58459.563,.068999998,.206,10.286,.40900001,229681.61,.168,-1.243,.28799999,-.31999999,-179369.2,.163,-27.528999,24.583,.84899998,476448.19,.303,-.653,.22,.054000001,30081.096,.066,-.87199998,.82700002,-.48199999,-270302.13,.088,.98500001,1,.99699998,559297.94,.001,-1.23,3.438,-.67900002,-381128.13,.163,-.72399998,.289,.057999998,32661.355,.085000001,-.58399999,.83399999,.37799999,212030.56,.102,-.84799999,.59200001,-.435,-244015.58,.085000001,.26300001,11.078,2.3150001,1298957.6,.667,-.78600001,.30199999,-.11,-61770.188,.105,-.87199998,.82700002,-.48199999,-270302.13,.088,-.375,.42300001,-.097999997,-55262.836,.052999999,-.87599999,1.252,.56699997,317996.91,.152,-.58399999,.83399999,.37799999,212020.13,.102,-.289,.72399998,-.057999998,-32661.355,.085000001,1830,2685,2035.671,1142302480,129.569,0,53.410999,7.348,4123199.3,7.9619999,10050000001,1,5,2532,.043958332,.1141123,47.561878,47.447765,2.3971524,6.0077171,6069.5903,.33392826,5.9044437,2532,.043958332,.06693878,50.845131,50.778191,2.4759629,6.3194695,6269.1377,.30216444,6.2272692,2532,.043958332,.30102712,50.88752,50.586494,2.7909038,6.4634151,7066.5688,.53572202,6.8529539,2532,.043958332,.29075205,51.958649,51.667896,2.9258585,6.8702698,7408.2734,.54355913,7.0372019,2532,.043958332,.23694527,56.396179,56.159233,3.0894356,7.4490781,7822.4512,.49645936,7.4699283,2532,.043958332,.37636924,55.911266,55.534897,3.3550787,7.5802608,8495.0596,.66578877,8.3566751,2532,.043958332,.38965517,62.034069,61.644413,3.7347174,8.5245199,9456.3047,.70370007,9.5388651
1011006,.76760846,-.98951972,-.011451566,.67893773,-.6709584,-.72302973,1.2432742,-1.2313638,.5214588,.42096192,.78909659,.83839476,,1.227126,1.1974555,.80229324,.75987655,1.2385062,-1.1005937,-.61211467,.79922712,.52715087,.38292682,-.55299997,.81999999,.237,52022.191,.141,.152,1.149,.30700001,67490.945,.045000002,-.368,.296,.081,17694.945,.089000002,.197,8.7119999,.42199999,92829.547,.14300001,-1.2410001,.255,-.36399999,-79896.109,.205,-3.421,11.45,.85600001,188164.19,.34299999,-.708,.212,.030999999,6804.1611,.079999998,-.71899998,.75800002,-.47,-103318.38,.061000001,.98799998,.99900001,.99699998,219094.28,.001,-1.252,2.1389999,-.616,-135338.33,.133,-.77100003,.29300001,.024,5190.124,.1,-.42300001,.83499998,.38699999,85086.234,.116,-.75599998,.405,-.449,-98642.883,.085000001,.40599999,11.127,2.427,533375.69,.935,-.81900001,.32699999,-.13600001,-29836.082,.13,-.71899998,.75800002,-.47,-103318.38,.061000001,-.287,.34599999,-.103,-22679.568,.07,-.634,1.252,.58099997,127611.36,.175,-.42300001,.83499998,.38699999,85082.398,.116,-.29300001,.77100003,-.024,-5190.124,.1,1880,2299,1973.97,433813434,104.575,0,49.231998,3.665,805393.13,5.6420002,10060000001,1,6,993,.017239584,.18316647,38.829327,38.64616,1.8975552,4.3606763,1884.2723,.74531496,3.4102795,993,.017239584,.15254204,42.426361,42.273819,2.1310205,4.9935884,2116.1035,.83075702,3.9073832,993,.017239584,.36852551,47.468285,47.099758,2.4892771,5.3177009,2471.8521,1.0620377,4.3940802,993,.017239584,.36955956,57.424034,57.054474,2.5836225,5.7480865,2565.5371,1.0967916,4.5413365,993,.017239584,.32015279,58.130753,57.8106,2.6985402,5.853075,2679.6506,1.114917,4.9566607,993,.017239584,.45281643,51.539379,51.086563,2.7706864,5.1998458,2751.2917,1.3308356,4.9209623,993,.017239584,.43501848,47.340736,46.90572,2.8752849,4.9889054,2855.158,1.4669896,5.4194994
1011007,1.352375,-.88818288,.29441708,.67533278,-.67862254,-.66700858,1.2393913,-1.2367169,.63619125,-.096732244,.539428,.21641059,,.58325493,1.0183063,.76172054,.72173828,1.4506438,-1.3566018,-.68479747,.50444072,1.3137321,-.055408567,-.442,.80900002,.19599999,81946.391,.121,.152,.96700001,.31099999,129828.59,.039999999,-.36700001,.29800001,.111,46480.746,.077,.197,6.9949999,.426,177910.47,.114,-1.238,.257,-.294,-122705.42,.17900001,-2775,590,.745,311455.97,4.5970001,-.498,.226,.059,24664.326,.07,-.66799998,.73000002,-.47499999,-198698.81,.066,.98799998,1,.99699998,416740.47,.001,-1.3609999,1.625,-.65799999,-275025.53,.142,-.579,.30899999,.059999999,25027.904,.089000002,-.329,.83700001,.35299999,147733.33,.103,-.76099998,.41100001,-.426,-177976.16,.079999998,.505,11.304,2.2049999,921606.88,.76899999,-.67400002,.28200001,-.097999997,-41099.426,.111,-.66799998,.73000002,-.47499999,-198698.81,.066,-.36399999,.34999999,-.121,-50492.895,.059999999,-.493,1.256,.52999997,221569.95,.154,-.329,.83700001,.35299999,147726.92,.103,-.30899999,.579,-.059999999,-25027.904,.089000002,1897,2501,2067.728,864159562,143.222,0,52.462002,5.1269999,2142653,7.0599999,10070000001,1,7,1892,.032847222,.090229876,48.979515,48.889286,1.3542773,4.0870242,2562.2925,.30085599,2.5687957,1892,.032847222,.023904864,45.270828,45.246922,1.2487659,3.7698691,2362.6653,.26433054,2.3792462,1892,.032847222,.2732808,49.43446,49.161179,1.5651664,3.9478993,2961.2947,.52341515,2.8643839,1892,.032847222,.26453394,52.769867,52.505333,1.5877179,4.1137371,3003.9622,.50457841,2.8636808,1892,.032847222,.2004416,53.546886,53.346443,1.6179768,4.3162279,3061.2122,.46288586,3.1111407,1892,.032847222,.31769741,52.875168,52.557472,1.7726365,4.5610652,3353.8284,.57547587,3.2006891,1892,.032847222,.3399812,51.893261,51.55328,1.843238,4.5022988,3487.4063,.59790552,3.5144854
1011008,.97749138,-1.1195837,-.69044018,.63617802,-.62472868,-.56033808,1.1912366,-1.1890188,.36339861,.10352138,.80846429,-.32366672,,.38641298,.90085369,.60498297,.56392497,1.6652709,-1.0315174,-1.1400669,.3315689,1.2887563,-.03375826,-.61000001,.81199998,.32800001,316346.38,.16599999,.15099999,.986,.26899999,258818.81,.052000001,-.38600001,.244,.057,54648.527,.094999999,.189,9.5679998,.384,370044.53,.29899999,-1.285,.38999999,-.44800001,-431446.81,.23,-195,520,1.0930001,1052156.3,1.062,-.60399997,.18799999,.015,14313.144,.082999997,-.634,.80599999,-.50599998,-487605.59,.14399999,.97799999,.99900001,.995,958337.63,.0020000001,-1.141,2.638,-.64999998,-625562.75,.241,-.685,.25,.0089999996,8912.3525,.108,-.493,.84399998,.45699999,440359.16,.152,-.79799998,.59399998,-.49399999,-476209.09,.148,.33899999,11.786,2.974,2863800.5,1.132,-.745,.13500001,-.197,-189599.02,.14,-.634,.80599999,-.50599998,-487605.59,.14399999,-.27500001,.39500001,-.066,-63569.18,.074000001,-.74000001,1.265,.68599999,660426.63,.228,-.493,.84399998,.45699999,440335.25,.152,-.25,.685,-.0089999996,-8912.3525,.108,1917,3037,2357.0029,2269885376,214.18401,0,61.344002,11.539,11112285,9.2279997,10080000002,1,8,4357,.075642362,.049119014,23.258303,23.209183,.23038092,.90053868,1003.7697,.12728655,.23292249,4357,.075642362,-.0085028727,21.890919,21.899422,.17684701,.86181307,770.52246,.072686069,.19490883,4357,.075642362,.22679313,28.648363,28.42157,.42629787,1.0745083,1857.3798,.30502814,.43463731,4357,.075642362,.22017558,29.221016,29.000841,.42366433,1.0512723,1845.9055,.30227861,.42933872,4357,.075642362,.16995762,31.056168,30.886209,.37588662,1.1136692,1637.738,.24664111,.38417506,4357,.075642362,.27778327,27.185396,26.907614,.48821372,1.0220253,2127.1472,.36589137,.50484502,4357,.075642362,.27828416,27.769608,27.491323,.5034036,1.0398107,2193.3293,.3810387,.5266847
1011009,.79893732,-.76182109,1.2763617,.70532334,-.69383693,-.66083157,1.1803299,-1.1763854,.42196843,-.65648824,.30649474,-.50060141,,-.26736662,.98230356,.59781903,.6316098,1.304337,-.257402,-1.2499937,-.41119412,1.6745521,.037366509,-.43900001,.79799998,.171,44001.797,.123,.164,.94999999,.324,83527.516,.041000001,-.352,.25600001,.113,29174.465,.068999998,.21699999,5.1890001,.44800001,115483.64,.083999999,-1.2180001,.178,-.26899999,-69358.602,.17200001,-21.667,27.312,.71100003,183227.86,.30700001,-.44299999,.20900001,.061000001,15657.267,.061999999,-.639,.634,-.45500001,-117424.47,.056000002,.99199998,1,.99699998,257118.44,.001,-1.122,1.339,-.62800002,-161939.75,.112,-.53500003,.25,.059999999,15534.701,.078000002,-.259,.81900001,.329,84893.305,.104,-.745,.34299999,-.40400001,-104261.76,.079000004,.588,10.073,2.0810001,536555.13,.68699998,-.66799998,.26300001,-.082000002,-21090.738,.104,-.639,.634,-.45500001,-117424.47,.056000002,-.33500001,.41299999,-.123,-31833.516,.059,-.389,1.229,.49399999,127321.82,.156,-.259,.81900001,.329,84889.43,.104,-.25,.53500003,-.059999999,-15534.701,.078000002,1897,2528,2036.21,524985857,109.112,0,43.910999,3.5910001,925967.94,4.98,10090000001,1,9,1181,.020503473,.18887477,32.958248,32.769375,1.2484852,2.7415695,1474.4611,.42842361,2.6697545,1181,.020503473,.13756558,26.413086,26.27552,1.2562672,2.6520872,1483.6516,.42235839,2.8164222,1181,.020503473,.39798021,29.133169,28.735189,1.5593719,2.7414453,1841.6183,.68901539,3.3950758,1181,.020503473,.38543162,28.790592,28.405161,1.4634566,2.4914751,1728.3423,.69229168,3.1864889,1181,.020503473,.32831886,30.757496,30.429176,1.538854,2.6430137,1817.3865,.67434072,3.434371,1181,.020503473,.43183783,31.844475,31.412638,1.7152817,2.658354,2025.7477,.84897465,3.5920453,1181,.020503473,.46390492,26.634846,26.17094,1.8021127,2.6855297,2128.2952,.89389712,4.0434737
1011010,.74087167,-.79198575,1.4122326,.5652582,-.55384701,-.42485514,.88450658,-.87833214,-.051869318,-.87513483,.26236582,-.80070978,,-.31243694,.70876038,.39761913,.57156044,1.0490737,-.95564163,-.50440562,-.20274778,1.0346533,-.56388396,-.48500001,.77700001,.134,75636.703,.090000004,.15899999,1.087,.31999999,181132.31,.037999999,-.32600001,.28200001,.15099999,85566.195,.055,.207,10.787,.442,250253.67,.18000001,-1.133,.21600001,-.18000001,-101724.43,.132,-7,9.3879995,.634,358776.72,.22,-.79100001,.229,.097999997,55668.203,.057999998,-.611,.79900002,-.46900001,-265351.53,.064000003,.991,1,.99800003,564406.25,.001,-1.302,1.76,-.71499997,-404613.06,.13600001,-.82800001,.32100001,.113,63851.234,.072999999,-.36899999,.80900002,.29300001,165575.67,.075999998,-.73199999,.354,-.37599999,-212636.75,.057,.461,9.4630003,1.87,1058196,.428,-.87599999,.234,-.028999999,-16594.988,.089000002,-.611,.79900002,-.46900001,-265351.53,.064000003,-.31299999,.30199999,-.13699999,-77617.938,.044,-.55400002,1.2130001,.43900001,248330.73,.114,-.36899999,.80900002,.29300001,165568.67,.075999998,-.32100001,.82800001,-.113,-63851.234,.072999999,1953,2504,2056.446,1163473538,92.511002,0,44.589001,2.098,1186841.5,4.152,10100000001,1,10,2561,.044461805,.087841578,21.262278,21.174437,.51738989,.97467315,1325.0355,.286558,.91902822,2561,.044461805,.047398213,12.309474,12.262075,.50750548,.84650463,1299.7216,.27224773,.96773404,2561,.044461805,.28363574,16.548605,16.264969,.79889232,1.0122771,2045.9633,.52449805,1.3147283,2561,.044461805,.28189835,16.191792,15.909893,.84012407,1.0900068,2151.5576,.55247051,1.36686,2561,.044461805,.22258818,24.026514,23.803926,.87768644,1.3712827,2247.7549,.53308964,1.4926244,2561,.044461805,.33928987,25.260139,24.920849,1.1059037,1.5508627,2832.2195,.69750905,1.8794923,2561,.044461805,.34320769,29.659098,29.315889,1.3004128,2.0418842,3330.3572,.75717854,2.1137328
