muni,yhat_1
1011001,0.097808786
1011002,0.26909003
1011003,0.23353505
1011004,0.2662877
1011005,0.099280566
1011006,0.1742339
1011007,0.20912102
1011008,0.25422138
1011009,0.27836803
1011010,0.28467897
1011011,0.08801974
1021001,0.09705167
1021002,0.09247611
1021003,0.09358187
1021004,0.08062366
1021005,0.097293474
1031001,0.119049266
1031002,0.1380324
1031003,0.100355946
1031008,0.07761484
1031009,0.0896232
1041001,0.25293726
1041002,0.12886934
1041003,0.105511606
1041004,0.3226504
1041005,0.3048616
1041006,0.44377205
1041007,0.29504663
1041008,0.19427726
1041009,0.31278613
1041010,0.48326787
1041011,0.42192265
1051002,0.086127646
1051003,0.119855724
1051004,0.16427957
1051006,0.13000844
1051007,0.14710504
1051008,0.2066544
1051009,0.15212205
1051010,0.102925375
1051011,0.29629305
1051014,0.20201492
1051017,0.13576649
1051018,0.10569887
1051019,0.12896736
1051020,0.14218764
1051021,0.16071776
1051022,0.10353202
1051023,0.310659
1051024,0.14218764
1051025,0.0925232
1051026,0.23228565
1051027,0.076003626
1051028,0.12309682
1051029,0.16396013
1051030,0.11907934
1051031,0.11862863
1051032,0.13522191
1051033,0.17130277
1051034,0.18088028
1051035,0.10083705
1051036,0.29768667
1051037,0.15493904
1051038,0.13600895
1061001,0.15376963
1061002,0.10195744
1061003,0.1605152
1061004,0.12158596
1061005,0.11877956
1061006,0.2941757
1061007,0.07761484
1061008,0.16182303
1061009,0.13842045
1061010,0.08826734
1071001,0.35997292
1071002,0.30790374
1071003,0.4781228
1071004,0.5834585
1071005,0.71430135
1071006,0.4887793
1071007,0.8016651
1071008,0.48916575
1071009,0.25019807
1071011,0.54077584
1071012,0.29010028
1071013,0.40769157
1071014,0.73338014
1071015,0.33907175
1071016,0.39382944
1071017,0.3147198
1071018,0.62127715
1071019,0.27557048
1071020,0.51704246
1071021,0.489347
1071022,0.7742907
1071023,0.7405169
1071025,0.661161
1071026,0.79816085
1071027,0.25089616
1071028,0.38826507
1071029,0.23753361
1071030,0.5337396
1071031,0.6661997
1071032,0.54049563
1071034,0.45270315
1071035,0.4682505
1071037,0.38102812
1071039,0.63436836
1071040,0.3419882
1071041,0.57710755
1071042,0.6260057
1071043,0.47333714
1071044,0.41762793
1071045,0.5383532
1071046,0.5208132
1071047,0.62636226
1071048,0.2594724
1071049,0.7552285
1071050,0.2978307
1071051,0.44060537
1071052,0.47815973
1071054,0.48451927
1071055,0.24842325
1071057,0.46421504
1071059,0.29851073
1071060,0.6663024
1071061,0.42916068
1071062,0.44228023
1071063,0.3007041
1071064,0.64795923
1071065,0.36038855
1071066,0.7929324
1071067,0.6593988
1071068,0.34267628
1071069,0.52879095
1071071,0.4781228
1071072,0.4440182
1071073,0.34432063
1071074,0.09284763
1071075,0.52918684
1071076,0.6291116
1071077,0.5548805
1071078,0.14677522
1071079,0.27788842
1071080,0.72732455
1071081,0.6147936
1071082,0.7099538
1071083,0.4909517
1071084,0.5530383
1071085,0.39869988
1071086,0.33734173
1071087,0.4107427
1071089,0.17414738
1071091,0.3199753
1071092,0.5192
1071093,0.7987291
1071094,0.50654155
1071096,0.6428709
1071097,0.36968392
1071099,0.55442417
1071100,0.6730612
1071101,0.100305215
1071102,0.3165429
1071103,0.44721863
1071104,0.37843361
1071105,0.35518923
1071106,0.50307673
1071107,0.46788505
1071108,0.32892683
1071109,0.34107825
1071111,0.7619605
1071112,0.8129485
1071113,0.7918612
1071114,0.3632856
1071116,0.60818535
1071117,0.5577776
1081001,0.118711546
1081002,0.1143619
1081003,0.14770252
1081004,0.13895407
1081005,0.1354646
1081006,0.15910596
1081007,0.31906453
1081008,0.63425004
1081009,0.2251393
1081011,0.12803435
1081013,0.14229651
1081016,0.16320938
1081017,0.120678544
1081018,0.25573754
1081019,0.08606781
1081020,0.42195517
1081021,0.10256849
1081022,0.31306133
1081023,0.18065098
1081025,0.1428452
1081027,0.386523
1081028,0.1947783
1081029,0.4057207
1081030,0.33033228
1081031,0.122047655
1081032,0.11826278
1081034,0.1812255
1081035,0.24576901
1081036,0.13680352
1081037,0.0928324
1081038,0.13343355
1081039,0.13369204
1081040,0.16349046
1081043,0.17487462
1081044,0.18016925
1081045,0.11423988
1081046,0.6370092
1081048,0.16071776
1081050,0.11584855
1081051,0.25562763
1081052,0.111250415
1081053,0.17594214
1081054,0.22659856
1081055,0.11953519
1081058,0.1709062
1081059,0.110031016
1081060,0.10416049
1081061,0.2133181
1081062,0.11798781
1081066,0.46667436
1081067,0.21751948
1091002,0.08903506
1091003,0.09214654
1091004,0.07847634
1091005,0.10319192
1091006,0.08903506
1091007,0.10407671
1091008,0.103217326
1091009,0.16117637
1091010,0.08374114
1091011,0.114173494
1091012,0.07847634
1091013,0.12139284
1091014,0.08903506
1091015,0.08903506
1091016,0.08903506
1091017,0.08903506
1101001,0.1969223
1101002,0.4279348
1101004,0.24093103
1101005,0.11137746
1101006,0.3333568
1101007,0.1264393
1101008,0.15762185
1101009,0.29707554
1101010,0.23004676
1101011,0.25311738
1101012,0.13727044
1101013,0.25833473
1101014,0.44771215
1101015,0.2857187
1101016,0.26560545
1101017,0.22375752
1101018,0.13929713
1101020,0.24021247
1101021,0.25249377
1101022,0.24340361
1101023,0.17052346
1101024,0.24739212
1101026,0.36045378
1101028,0.25364134
1101031,0.23548502
1101032,0.15513231
1101033,0.28566742
1101034,0.28029016
1101035,0.24712838
1101036,0.21582556
1101037,0.41145086
1101038,0.15781894
1101039,0.1815866
1111001,0.268212
1111002,0.18540591
1111003,0.14105691
1111004,0.17285165
1111005,0.1380082
1111007,0.11336155
1111008,0.29401097
1111009,0.30146462
1111010,0.19882141
1111011,0.12691212
1111012,0.22347021
1111013,0.27838114
1111014,0.23045729
1111015,0.13321614
1111016,0.27873167
1111017,0.12752348
1111018,0.2539052
1111019,0.31114313
1111020,0.11351302
1111021,0.1715699
1111022,0.29103193
1111023,0.26435363
1111024,0.25305942
1111025,0.21551178
1111026,0.30814436
1111027,0.11351302
1111028,0.22167805
1111029,0.31635502
1111030,0.27769494
1111031,0.15558438
1111032,0.11622141
1111033,0.27158478
1111034,0.3284892
1111035,0.22314212
1111036,0.23193218
1111037,0.13479196
1111038,0.25763345
1111039,0.26211932
1111040,0.39871636
1111041,0.16329291
1111042,0.2036322
1111043,0.3808191
1111044,0.1309101
1111046,0.22167805
1121001,0.14157929
1121002,0.55983156
1121003,0.4631775
1121004,0.5476436
1121005,0.36237225
1121006,0.42229617
1121007,0.24332395
1121008,0.44644555
1121010,0.75521284
1121011,0.31657764
1121012,0.55058336
1121013,0.40553924
1121014,0.28807342
1121015,0.2695438
1121016,0.54116106
1121017,0.30413443
1121018,0.34970757
1121019,0.61828095
1121020,0.6415613
1121021,0.27711415
1121022,0.38010645
1121023,0.41632152
1121024,0.59454095
1121025,0.5388689
1121027,0.40705836
1121028,0.44645113
1121029,0.17029536
1121030,0.38483402
1121032,0.45952192
1121033,0.3831021
1121034,0.3510946
1121035,0.15416388
1121036,0.4883021
1121037,0.43397218
1121038,0.1642427
1121039,0.29725575
1121040,0.4878146
1121041,0.6487643
1121042,0.54188985
1121044,0.3391259
1121045,0.42746586
1121046,0.4151814
1121048,0.20917208
1121049,0.34269342
1121050,0.25067526
1121051,0.4899569
1121052,0.5948675
1121053,0.4046197
1121054,0.5328003
1121055,0.24891253
1121056,0.54529077
1121057,0.25097546
1121058,0.36749622
1121059,0.39589983
1121060,0.5440888
1121061,0.29404137
1121062,0.58573663
1121064,0.38611555
1121065,0.47272396
1121066,0.30962464
1121067,0.32269585
1121068,0.28701165
1121069,0.6543576
1121070,0.41985914
1121071,0.5379669
1121072,0.6279623
1121073,0.38591492
1121074,0.7188376
1121075,0.30843377
1121076,0.739874
1121077,0.3911738
1121079,0.66967994
1121080,0.48697737
1121081,0.61058104
1131001,0.2708065
1131002,0.44103023
1131003,0.18216652
1131004,0.34893173
1131005,0.19426905
1131006,0.24907884
1131007,0.29064283
1131008,0.13737823
1131009,0.22003953
1131010,0.12052553
1131011,0.49116406
1131012,0.23334001
1131013,0.15331192
1131014,0.49039996
1131015,0.350929
1131016,0.22791621
1131017,0.2709801
1131018,0.37754133
1131019,0.33934233
1131021,0.14217722
1131022,0.12876168
1131023,0.14326875
1131024,0.26167303
1131025,0.57921755
1131026,0.61127025
1131027,0.5505577
1131028,0.36516288
1131029,0.21787435
1131030,0.22612396
1131031,0.3010483
1131032,0.45059067
1131034,0.5172343
1131035,0.23398603
1131036,0.29465902
1131037,0.41982827
1131038,0.2928317
1131039,0.12968168
1131040,0.43101102
1131041,0.16439262
1131042,0.32108483
1131044,0.24149458
1131045,0.24597853
1131046,0.45839477
1131048,0.093693905
1131049,0.5691519
1131050,0.14010362
1131051,0.07534496
1131052,0.13442391
1131053,0.4221568
