muni,yhat_1
1011001,0.101988964
1011002,0.316858
1011003,0.2052276
1011004,0.2115831
1011005,0.09744069
1011006,0.17595568
1011007,0.2512227
1011008,0.23577587
1011009,0.21767537
1011010,0.28094655
1011011,0.08698289
1021001,0.064273134
1021002,0.100405306
1021003,0.08118534
1021004,0.06822667
1021005,0.07688713
1031001,0.10544584
1031002,0.07017294
1031003,0.0451501
1031008,0.04156307
1031009,0.04072221
1041001,0.16546157
1041002,0.15379004
1041003,0.07672746
1041004,0.2971981
1041005,0.1966441
1041006,0.40025398
1041007,0.36267206
1041008,0.19648376
1041009,0.37820703
1041010,0.49883977
1041011,0.34241116
1051002,0.032066736
1051003,0.08338509
1051004,0.14783978
1051006,0.07531015
1051007,0.25124258
1051008,0.15744369
1051009,0.17072684
1051010,0.060278933
1051011,0.27703878
1051014,0.208463
1051017,0.15828313
1051018,0.12333917
1051019,0.14040607
1051020,0.07659486
1051021,0.1036978
1051022,0.06154606
1051023,0.18981208
1051024,0.12639046
1051025,0.11722935
1051026,0.1673465
1051027,0.07192387
1051028,0.13794343
1051029,0.22905989
1051030,0.08452412
1051031,0.046493813
1051032,0.08721624
1051033,0.15799631
1051034,0.09740723
1051035,0.10036384
1051036,0.23782913
1051037,0.154795
1051038,0.17209615
1061001,0.22348177
1061002,0.10352516
1061003,0.11423001
1061004,0.16944501
1061005,0.13380848
1061006,0.3443625
1061007,0.117314085
1061008,0.21336348
1061009,0.15881246
1061010,0.07822855
1071001,0.278287
1071002,0.3456302
1071003,0.46644744
1071004,0.62392473
1071005,0.6569232
1071006,0.68844265
1071007,0.42958683
1071008,0.67951643
1071009,0.40879467
1071011,0.7686067
1071012,0.28464127
1071013,0.56607634
1071014,0.85488236
1071015,0.5184504
1071016,0.41930178
1071017,0.21094978
1071018,0.55425173
1071019,0.20400068
1071020,0.52549785
1071021,0.544533
1071022,0.9139877
1071023,0.8107777
1071025,0.5284715
1071026,0.8876605
1071027,0.49301207
1071028,0.29735574
1071029,0.3954401
1071030,0.62740093
1071031,0.63697916
1071032,0.5713533
1071034,0.6075837
1071035,0.556051
1071037,0.5478631
1071039,0.6091018
1071040,0.17982005
1071041,0.6509533
1071042,0.49293274
1071043,0.5044485
1071044,0.10342292
1071045,0.7060635
1071046,0.6760761
1071047,0.6046461
1071048,0.1607598
1071049,0.4326486
1071050,0.40650403
1071051,0.53500056
1071052,0.47038242
1071054,0.44348764
1071055,0.35333836
1071057,0.5399047
1071059,0.2316381
1071060,0.63140553
1071061,0.2971939
1071062,0.14262457
1071063,0.4531011
1071064,0.56596196
1071065,0.5555074
1071066,0.7027182
1071067,0.72123426
1071068,0.5053898
1071069,0.62799174
1071071,0.30931577
1071072,0.61792713
1071073,0.5043675
1071074,0.092886664
1071075,0.4823913
1071076,0.7022339
1071077,0.5325612
1071078,0.28300613
1071079,0.22160973
1071080,0.8630956
1071081,0.49894312
1071082,0.53086877
1071083,0.2936064
1071084,0.5758843
1071085,0.43529472
1071086,0.35171583
1071087,0.36708987
1071089,0.18005934
1071091,0.40735158
1071092,0.57840014
1071093,0.88409334
1071094,0.5413534
1071096,0.46931845
1071097,0.41886833
1071099,0.46406764
1071100,0.64455
1071101,0.097987294
1071102,0.34262758
1071103,0.29070202
1071104,0.3249908
1071105,0.5711646
1071106,0.6214501
1071107,0.65343
1071108,0.5285312
1071109,0.2535335
1071111,0.763321
1071112,0.9046358
1071113,0.24666041
1071114,0.3640124
1071116,0.7084666
1071117,0.5517468
1081001,0.28938657
1081002,0.11635018
1081003,0.31941602
1081004,0.1941017
1081005,0.321066
1081006,0.0937423
1081007,0.26200312
1081008,0.3487501
1081009,0.20498972
1081011,0.1387763
1081013,0.11188092
1081016,0.13874169
1081017,0.14134221
1081018,0.29974213
1081019,0.065228656
1081020,0.2473227
1081021,0.15588902
1081022,0.20414671
1081023,0.18437462
1081025,0.20073582
1081027,0.36325824
1081028,0.11634044
1081029,0.52719253
1081030,0.301769
1081031,0.06688855
1081032,0.10489301
1081034,0.2066554
1081035,0.3481376
1081036,0.09195317
1081037,0.13781309
1081038,0.20217918
1081039,0.22513139
1081040,0.10795053
1081043,0.2689384
1081044,0.19188438
1081045,0.13941735
1081046,0.39833346
1081048,0.16250758
1081050,0.06525288
1081051,0.2695909
1081052,0.12965956
1081053,0.18915024
1081054,0.11632567
1081055,0.19451489
1081058,0.25555745
1081059,0.2543726
1081060,0.18704104
1081061,0.11317164
1081062,0.17914057
1081066,0.45889202
1081067,0.28204665
1091002,0.094286196
1091003,0.07341606
1091004,0.05436143
1091005,0.07515714
1091006,0.09656686
1091007,0.10735115
1091008,0.08793399
1091009,0.15791239
1091010,0.056274164
1091011,0.07362538
1091012,0.09150597
1091013,0.1088785
1091014,0.084520355
1091015,0.09046432
1091016,0.07522645
1091017,0.08654037
1101001,0.30479148
1101002,0.2444653
1101004,0.11433174
1101005,0.100924686
1101006,0.25635666
1101007,0.15204686
1101008,0.22640339
1101009,0.06503559
1101010,0.26374462
1101011,0.29467267
1101012,0.11887396
1101013,0.19397067
1101014,0.33041888
1101015,0.3905158
1101016,0.21601613
1101017,0.13010225
1101018,0.19860263
1101020,0.5208151
1101021,0.30260482
1101022,0.20205308
1101023,0.045986578
1101024,0.2791633
1101026,0.37099636
1101028,0.34088087
1101031,0.2354072
1101032,0.18278778
1101033,0.26009798
1101034,0.19237603
1101035,0.28013983
1101036,0.15865614
1101037,0.38294217
1101038,0.18630122
1101039,0.16193368
1111001,0.12801284
1111002,0.24257609
1111003,0.10178022
1111004,0.19644582
1111005,0.124620505
1111007,0.10203878
1111008,0.2294782
1111009,0.27317166
1111010,0.07259993
1111011,0.12894242
1111012,0.17384315
1111013,0.27772626
1111014,0.12607138
1111015,0.12435605
1111016,0.24186036
1111017,0.1266904
1111018,0.18141578
1111019,0.31856
1111020,0.09997774
1111021,0.14922309
1111022,0.19762881
1111023,0.07208489
1111024,0.09570475
1111025,0.19231084
1111026,0.18131721
1111027,0.09484923
1111028,0.22620115
1111029,0.28093082
1111030,0.23873939
1111031,0.117092274
1111032,0.13020831
1111033,0.14862734
1111034,0.45928863
