variables,imp_1
census_hhsize,0.01042939
census_age_hh,0.009366888
census_male_hh,0.022145819
census_piped_water,0.01072426
census_no_piped_water,0.01107077
census_no_sewage,0.012794801
census_sewage_pub,0.0
census_sewage_priv,0.0
census_electricity,0.010986249
census_telephone,0.0
census_cellphone,0.23034936
census_internet,0.08338142
census_computer,0.036264557
census_washmachine,0.068285406
census_fridge,0.011313158
census_television,0.121659875
census_share_under15,0.0
census_share_elderly,0.009437387
census_share_adult,0.029108869
census_max_tertiary,0.0
census_max_secondary,0.0
census_share_female,0.014139064
gis_arvimin,0.0059224768
gis_arvimax,0.0
gis_arvimean,0.0046601263
gis_arvisum,0.0
gis_arvistddev,0.0
gis_baeimin,0.0
gis_baeimax,0.015667642
gis_baeimean,0.0
gis_baeisum,0.0
gis_baeistddev,0.0
gis_bimin,0.0
gis_bimax,0.0
gis_bimean,0.0
gis_bisum,0.0
gis_bistddev,0.0
gis_brbamin,0.0
gis_brbamax,0.0
gis_brbamean,0.0
gis_brbasum,0.0
gis_brbastddev,0.0
gis_bumin,0.0
gis_bumax,0.008751864
gis_bumean,0.0
gis_busum,0.0
gis_bustddev,0.0
gis_evimin,0.0
gis_evimax,0.0
gis_evimean,0.0
gis_evisum,0.012991886
gis_evistddev,0.0
gis_ibimin,0.0
gis_ibimax,0.0
gis_ibimean,0.0
gis_ibisum,0.0
gis_ibistddev,0.0
gis_mndwimin,0.0
gis_mndwimax,0.0
gis_mndwimean,0.010767311
gis_mndwisum,0.0
gis_mndwistddev,0.007872167
gis_nbaimin,0.00644217
gis_nbaimax,0.010659098
gis_nbaimean,0.0
gis_nbaisum,0.0
gis_nbaistddev,0.0
gis_nbimin,0.0
gis_nbimax,0.0
gis_nbimean,0.0
gis_nbisum,0.0040983376
gis_nbistddev,0.0
gis_ndbimin,0.0
gis_ndbimax,0.0
gis_ndbimean,0.0
gis_ndbisum,0.0
gis_ndbistddev,0.0
gis_ndvimin,0.0
gis_ndvimax,0.0
gis_ndvimean,0.0
gis_ndvisum,0.0
gis_ndvistddev,0.0
gis_ndwimin,0.0
gis_ndwimax,0.0
gis_ndwimean,0.0
gis_ndwisum,0.0
gis_ndwistddev,0.0
gis_srmin,0.0
gis_srmax,0.0
gis_srmean,0.0
gis_srsum,0.0
gis_srstddev,0.0
gis_uimin,0.0089161005
gis_uimax,0.00905178
gis_uimean,0.0
gis_uisum,0.0
gis_uistddev,0.0
gis_ndsimin,0.0
gis_ndsimax,0.0
gis_ndsimean,0.0
gis_ndsisum,0.0
gis_ndsistddev,0.0
gis_varimin,0.0
gis_varimax,0.0071465094
gis_varimean,0.0
gis_varisum,0.0
gis_varistddev,0.0
gis_savimin,0.0
gis_savimax,0.0
gis_savimean,0.0
gis_savisum,0.0
gis_savistddev,0.0
gis_osavimin,0.0
gis_osavimax,0.0
gis_osavimean,0.0
gis_osavisum,0.0
gis_osavistddev,0.0
gis_ndmimin,0.0
gis_ndmimax,0.0
gis_ndmimean,0.0
gis_ndmisum,0.0
gis_ndmistddev,0.0
gis_mdeamin,0.0
gis_mdeamax,0.0
gis_mdeamean,0.0
gis_mdeasum,0.0
gis_mdeastddev,0.0
gis_mdepmin,0.0
gis_mdepmax,0.0
gis_mdepmean,0.0077066743
gis_mdepsum,0.0075693037
gis_mdepstddev,0.0
gis_ntl_count_2014,0.0
gis_ntl_area_2014,0.0
gis_ntl_min_2014,0.0
gis_ntl_max_2014,0.0
gis_ntl_range_2014,0.0
gis_ntl_mean_2014,0.0
gis_ntl_std_2014,0.0
gis_ntl_sum_2014,0.0
gis_ntl_median_2014,0.0
gis_ntl_pct90_2014,0.0
gis_ntl_count_2015,0.0
gis_ntl_area_2015,0.0
gis_ntl_min_2015,0.0
gis_ntl_max_2015,0.0
gis_ntl_range_2015,0.0
gis_ntl_mean_2015,0.0
gis_ntl_std_2015,0.0
gis_ntl_sum_2015,0.0
gis_ntl_median_2015,0.009041801
gis_ntl_pct90_2015,0.0
gis_ntl_count_2016,0.0
gis_ntl_area_2016,0.0
gis_ntl_min_2016,0.0
gis_ntl_max_2016,0.0
gis_ntl_range_2016,0.024590306
gis_ntl_mean_2016,0.0
gis_ntl_std_2016,0.0
gis_ntl_sum_2016,0.0
gis_ntl_median_2016,0.017576931
gis_ntl_pct90_2016,0.0
gis_ntl_count_2017,0.0
gis_ntl_area_2017,0.0
gis_ntl_min_2017,0.0
gis_ntl_max_2017,0.0
gis_ntl_range_2017,0.0
gis_ntl_mean_2017,0.010714067
gis_ntl_std_2017,0.0
gis_ntl_sum_2017,0.00749164
gis_ntl_median_2017,0.014880986
gis_ntl_pct90_2017,0.0
gis_ntl_count_2018,0.0
gis_ntl_area_2018,0.0
gis_ntl_min_2018,0.0
gis_ntl_max_2018,0.0
gis_ntl_range_2018,0.0
gis_ntl_mean_2018,0.0
gis_ntl_std_2018,0.0
gis_ntl_sum_2018,0.016848681
gis_ntl_median_2018,0.0145141585
gis_ntl_pct90_2018,0.0
gis_ntl_count_2019,0.0
gis_ntl_area_2019,0.0
gis_ntl_min_2019,0.008798905
gis_ntl_max_2019,0.0
gis_ntl_range_2019,0.0
gis_ntl_mean_2019,0.0
gis_ntl_std_2019,0.017541168
gis_ntl_sum_2019,0.0
gis_ntl_median_2019,0.0
gis_ntl_pct90_2019,0.0
gis_ntl_count_2020,0.0
gis_ntl_area_2020,0.0
gis_ntl_min_2020,0.0
gis_ntl_max_2020,0.0
gis_ntl_range_2020,0.013944726
gis_ntl_mean_2020,0.0
gis_ntl_std_2020,0.0
gis_ntl_sum_2020,0.007970319
gis_ntl_median_2020,0.0
gis_ntl_pct90_2020,0.0
gis_ntl_count_2021,0.0
gis_ntl_area_2021,0.0
gis_ntl_min_2021,0.0
gis_ntl_max_2021,0.016405622
gis_ntl_range_2021,0.0
gis_ntl_mean_2021,0.0
gis_ntl_std_2021,0.0
gis_ntl_sum_2021,0.0
gis_ntl_median_2021,0.0
gis_ntl_pct90_2021,0.0
