variables,imp_1
gis_arvimin,0.0010523448
gis_arvimax,0.0013005859
gis_arvimean,0.001090517
gis_arvisum,0.0009409653
gis_arvistddev,0.0008969671
gis_baeimin,0.0060676984
gis_baeimax,0.0024382852
gis_baeimean,0.0020230683
gis_baeisum,0.0015732956
gis_baeistddev,0.001375635
gis_bimin,0.0023912366
gis_bimax,0.0038523315
gis_bimean,0.002410817
gis_bisum,0.002794143
gis_bistddev,0.0027542848
gis_brbamin,0.007827934
gis_brbamax,0.0037644752
gis_brbamean,0.0012833636
gis_brbasum,0.0020651259
gis_brbastddev,0.0008681009
gis_bumin,0.003439597
gis_bumax,0.004054179
gis_bumean,0.0037741782
gis_busum,0.0
gis_bustddev,0.0041653225
gis_evimin,0.0021189372
gis_evimax,0.0024933089
gis_evimean,0.0021857629
gis_evisum,0.001602999
gis_evistddev,0.003294634
gis_ibimin,0.00200961
gis_ibimax,0.0024039291
gis_ibimean,0.00012392095
gis_ibisum,0.0029874416
gis_ibistddev,0.0030108942
gis_mndwimin,0.0050317138
gis_mndwimax,0.0021827826
gis_mndwimean,0.0062369443
gis_mndwisum,0.0055717505
gis_mndwistddev,0.004412497
gis_nbaimin,0.004078837
gis_nbaimax,0.0005218478
gis_nbaimean,0.002266545
gis_nbaisum,0.0014178194
gis_nbaistddev,0.0028184275
gis_nbimin,0.0037537946
gis_nbimax,0.012569262
gis_nbimean,0.0024972751
gis_nbisum,0.0023865208
gis_nbistddev,0.0032545305
gis_ndbimin,0.0043936977
gis_ndbimax,0.0016834608
gis_ndbimean,0.006167145
gis_ndbisum,0.0019774921
gis_ndbistddev,0.0019669232
gis_ndvimin,0.006439768
gis_ndvimax,0.007805456
gis_ndvimean,0.094785534
gis_ndvisum,0.010381764
gis_ndvistddev,0.0026755214
gis_ndwimin,0.0086200135
gis_ndwimax,0.004867243
gis_ndwimean,0.008287951
gis_ndwisum,0.004255649
gis_ndwistddev,0.0034649821
gis_srmin,0.004390143
gis_srmax,0.0
gis_srmean,0.0013738351
gis_srsum,0.0019077362
gis_srstddev,0.002117366
gis_uimin,0.0036563713
gis_uimax,0.0037173978
gis_uimean,0.002731046
gis_uisum,0.0030785992
gis_uistddev,0.0027225905
gis_ndsimin,0.0
gis_ndsimax,0.0
gis_ndsimean,0.0
gis_ndsisum,0.0
gis_ndsistddev,0.0
gis_varimin,0.0031219835
gis_varimax,0.003920942
gis_varimean,0.0037872077
gis_varisum,0.0032873226
gis_varistddev,0.0032270006
gis_savimin,0.0
gis_savimax,0.007189571
gis_savimean,0.0
gis_savisum,0.0
gis_savistddev,0.0014996893
gis_osavimin,0.0
gis_osavimax,0.0
gis_osavimean,0.0
gis_osavisum,0.0
gis_osavistddev,0.0
gis_ndmimin,0.0
gis_ndmimax,0.0029313175
gis_ndmimean,0.0
gis_ndmisum,0.0
gis_ndmistddev,0.0
gis_mdeamin,0.005186194
gis_mdeamax,0.0022953711
gis_mdeamean,0.0034129822
gis_mdeasum,0.003669646
gis_mdeastddev,0.003294818
gis_mdepmin,0.0
gis_mdepmax,0.007826116
gis_mdepmean,0.010533006
gis_mdepsum,0.0047708466
gis_mdepstddev,0.0032427402
gis_ntl_count_2014,0.0010081325
gis_ntl_area_2014,0.0
gis_ntl_min_2014,0.0071568564
gis_ntl_max_2014,0.0042697913
gis_ntl_range_2014,0.0018130061
gis_ntl_mean_2014,0.0038965668
gis_ntl_std_2014,0.005653872
gis_ntl_sum_2014,0.0027509779
gis_ntl_median_2014,0.0026316755
gis_ntl_pct90_2014,0.0026580319
gis_ntl_count_2015,0.0
gis_ntl_area_2015,0.0
gis_ntl_min_2015,0.004369169
gis_ntl_max_2015,0.0037564242
gis_ntl_range_2015,0.0030283253
gis_ntl_mean_2015,0.0037667886
gis_ntl_std_2015,0.0053133164
gis_ntl_sum_2015,0.0035713213
gis_ntl_median_2015,0.03111055
gis_ntl_pct90_2015,0.005242076
gis_ntl_count_2016,0.0
gis_ntl_area_2016,0.0
gis_ntl_min_2016,0.0034785434
gis_ntl_max_2016,0.004219014
gis_ntl_range_2016,0.019463161
gis_ntl_mean_2016,0.0015621843
gis_ntl_std_2016,0.0059728352
gis_ntl_sum_2016,0.011139173
gis_ntl_median_2016,0.0008707187
gis_ntl_pct90_2016,0.0016984384
gis_ntl_count_2017,0.0
gis_ntl_area_2017,0.0
gis_ntl_min_2017,0.0070284023
gis_ntl_max_2017,0.0075311093
gis_ntl_range_2017,0.011166153
gis_ntl_mean_2017,0.0012742928
gis_ntl_std_2017,0.021341091
gis_ntl_sum_2017,0.0075730295
gis_ntl_median_2017,0.004896904
gis_ntl_pct90_2017,0.0042278063
gis_ntl_count_2018,0.0
gis_ntl_area_2018,0.0
gis_ntl_min_2018,0.0016098574
gis_ntl_max_2018,0.007048401
gis_ntl_range_2018,0.0024119618
gis_ntl_mean_2018,0.00034076974
gis_ntl_std_2018,0.005950553
gis_ntl_sum_2018,0.0038010785
gis_ntl_median_2018,0.003992442
gis_ntl_pct90_2018,0.001613765
gis_ntl_count_2019,0.0
gis_ntl_area_2019,0.0
gis_ntl_min_2019,0.0056196474
gis_ntl_max_2019,0.004991446
gis_ntl_range_2019,0.002898572
gis_ntl_mean_2019,0.0019365991
gis_ntl_std_2019,0.17056336
gis_ntl_sum_2019,0.012098026
gis_ntl_median_2019,0.00611493
gis_ntl_pct90_2019,0.0072900834
gis_ntl_count_2020,0.0
gis_ntl_area_2020,0.0
gis_ntl_min_2020,0.0018456177
gis_ntl_max_2020,0.013567189
gis_ntl_range_2020,0.008771663
gis_ntl_mean_2020,0.0036932623
gis_ntl_std_2020,0.048840992
gis_ntl_sum_2020,0.0033228686
gis_ntl_median_2020,0.015368683
gis_ntl_pct90_2020,0.008633154
gis_ntl_count_2021,0.0
gis_ntl_area_2021,0.0
gis_ntl_min_2021,0.0024289328
gis_ntl_max_2021,0.00739954
gis_ntl_range_2021,0.011947848
gis_ntl_mean_2021,0.0024674875
gis_ntl_std_2021,0.007745498
gis_ntl_sum_2021,0.0025648694
gis_ntl_median_2021,0.005580217
gis_ntl_pct90_2021,0.0
