muni,yhat_1,yhat_2,yhat_3
1011001,0.10436202,0.07393635,0.10401299
1011002,0.2836652,0.20489766,0.2651144
1011003,0.2034585,0.20660953,0.21030027
1011004,0.24626498,0.19182085,0.275061
1011005,0.07275711,0.08582031,0.105769545
1011006,0.20480818,0.124036044,0.16590928
1011007,0.1922096,0.17891866,0.24184929
1011008,0.24075755,0.21081713,0.22565553
1011009,0.30677807,0.23815964,0.26657444
1011010,0.3054817,0.2605547,0.27106458
1011011,0.07798416,0.081847906,0.0873696
1021001,0.09348884,0.08683782,0.10624733
1021002,0.0886223,0.068191834,0.060566653
1021003,0.08295005,0.08782125,0.08338146
1021004,0.07930627,0.068191834,0.060566653
1021005,0.10098585,0.07393635,0.09298654
1031001,0.11696045,0.10129823,0.11363977
1031002,0.12397033,0.071668625,0.11360611
1031003,0.10380463,0.08909016,0.08713261
1031008,0.06956783,0.06294114,0.06889533
1031009,0.11795775,0.101458125,0.108974256
1041001,0.23779714,0.26545715,0.23462404
1041002,0.14087568,0.11807,0.13832287
1041003,0.10660236,0.10004412,0.12977062
1041004,0.31102097,0.28890198,0.24187763
1041005,0.30211917,0.28308523,0.25066856
1041006,0.49241057,0.49569696,0.47172797
1041007,0.29484344,0.3212642,0.25989437
1041008,0.19842376,0.19298175,0.202861
1041009,0.3153035,0.30658346,0.25543812
1041010,0.4829721,0.4065145,0.412727
1041011,0.40442124,0.45290333,0.3729387
1051002,0.08841213,0.07559486,0.10258447
1051003,0.105842926,0.06849855,0.08861722
1051004,0.17578785,0.1542735,0.17167202
1051006,0.11499935,0.08639774,0.12885825
1051007,0.16305268,0.20179777,0.15273315
1051008,0.21590419,0.123985544,0.16441186
1051009,0.14695024,0.17975305,0.17585339
1051010,0.078901835,0.06080812,0.06485072
1051011,0.32363546,0.26605216,0.22787327
1051014,0.18454887,0.1280179,0.1611016
1051017,0.15059403,0.13329126,0.12646328
1051018,0.092105985,0.07393635,0.08409483
1051019,0.105842926,0.06940975,0.09272767
1051020,0.14123617,0.10035479,0.1174268
1051021,0.13096167,0.1356767,0.14555667
1051022,0.1004859,0.08162679,0.06903684
1051023,0.3431625,0.23478438,0.24372199
1051024,0.13759239,0.115816996,0.11813665
1051025,0.07930627,0.066237114,0.06170569
1051026,0.22319788,0.12391797,0.18283322
1051027,0.065375246,0.07393635,0.06573694
1051028,0.11151518,0.092958294,0.07496999
