muni,yhat_1,yhat_2
1011001101,0.091861114,0.07822981
1011001102,0.07870948,0.060296375
1011001103,0.14195858,0.118493706
1011001104,0.08034533,0.05760727
1011001105,0.11643758,0.07629004
1011001106,0.06772886,0.05157059
1011001107,0.070112154,0.045346074
1011001108,0.09588024,0.07267812
1011001109,0.08830874,0.07005035
1011001110,0.08561223,0.074201606
1011001111,0.11734698,0.074201606
1011001112,0.05800243,0.0538575
1011001113,0.05544491,0.0434289
1011001114,0.06408805,0.0538575
1011001115,0.06628026,0.057392914
1011001116,0.108713076,0.08680657
1011001117,0.12075849,0.11085245
1011001118,0.16508673,0.141036
1011001119,0.065438345,0.057392914
1011001120,0.051363543,0.0538575
1011001121,0.051186576,0.04844733
1011001122,0.03962157,0.05064133
1011001123,0.07527698,0.044516467
1011001124,0.05800243,0.04844733
1011001125,0.0678726,0.05337698
1011001126,0.070464365,0.05096566
1011001127,0.10904531,0.077514164
1011001128,0.061170373,0.04203467
1011001129,0.06408381,0.05412425
1011001130,0.07830257,0.02255328
1011001131,0.07204909,0.06680317
1011001132,0.06272704,0.044516467
1011001133,0.10937432,0.091653734
1011001134,0.0969332,0.100831054
1011001135,0.07167307,0.06789568
1011001136,0.08907088,0.0690065
1011001137,0.08850183,0.073599
1011001138,0.073111184,0.08276464
1011001139,0.08597383,0.07963978
1011001140,0.081791855,0.07423503
1011001141,0.09569786,0.080188334
1011001142,0.08009421,0.036112424
1011001143,0.05183202,0.03831162
1011001144,0.038680416,0.038618293
1011001145,0.1018334,0.106684096
1011001146,0.07171863,0.041792963
1011001147,0.20420496,0.19111484
1011001148,0.23721245,0.24476501
1011001149,0.14145301,0.121130355
1011001150,0.1021188,0.10772442
1011001151,0.26208794,0.29082537
1011001152,0.07851949,0.054843254
1011002101,0.13928074,0.12646796
1011002102,0.25329626,0.23351115
1011002103,0.223352,0.21540956
1011002104,0.2321788,0.1588453
1011002105,0.18383445,0.14250717
1011002106,0.26138222,0.24482104
1011002107,0.20133378,0.18778758
1011002108,0.29071248,0.28041023
1011002109,0.28484115,0.28581312
1011002110,0.28623083,0.24579859
1011002111,0.12320858,0.13545644
1011003101,0.15595838,0.108217426
1011003102,0.18552247,0.156242
1011003103,0.19125433,0.17932455
1011003104,0.18100823,0.14811826
1011003105,0.23648298,0.21865007
1011003106,0.21979417,0.18233553
1011003107,0.25174233,0.22794655
1011003108,0.24198993,0.24798392
1011003109,0.17847447,0.20622902
1011003110,0.2830692,0.23403369
1011003111,0.18865126,0.16467597
1011004101,0.15315925,0.10658095
1011004102,0.19792092,0.17892092
1011004103,0.25206673,0.2870015
1011004104,0.19081026,0.190557
1011004105,0.22522451,0.21343108
1011005101,0.13503043,0.088503405
1011005102,0.06975118,0.07429087
1011005103,0.12698689,0.14729951
1011005104,0.14278005,0.10896809
1011005105,0.09984861,0.09237241
1011005106,0.12901136,0.14545737
1011005107,0.1424923,0.1283574
1011005108,0.15120418,0.09860931
1011005109,0.07773272,0.06134811
1011005110,0.12994097,0.13004626
1011005111,0.16041769,0.17018998
1011005112,0.16605982,0.18060955
1011005113,0.03980612,0.035914265
1011005114,0.03264306,0.014175974
1011005115,0.038240217,0.018398073
1011006101,0.09056319,0.084588155
1011006102,0.1113981,0.085121185
1011006103,0.16167018,0.07655323
1011006104,0.14755978,0.12498715
1011006105,0.085653014,0.087320775
1011006106,0.08898886,0.055641282
1011006107,0.16153626,-0.0066166427
1011006108,0.10678234,0.097782575
1011006109,0.21554928,0.20914836
1011006110,0.078646176,0.06770588
1011006111,0.18317126,0.18375596
1011006112,0.24574786,0.21565937
1011006113,0.17120397,0.18948111
1011007101,0.17828457,0.13677166
1011007102,0.1509771,0.11746445
1011007103,0.18686782,0.16525024
1011007104,0.104582235,0.08371866
1011007105,0.16182512,0.14853147
1011007106,0.13030632,0.016990492
1011007107,0.16557752,0.15174615
1011007108,0.2815665,0.23903154
1011007109,0.21337917,0.15343514
1011007110,0.18995093,0.15157059
1011007111,0.22654241,0.2050124
1011008101,0.120650455,0.09237241
1011008102,0.15222843,0.14168721
1011008103,0.15352993,0.17502506
1011008104,0.21229252,0.23988007
1011008105,0.32062778,0.28325254
1011009101,0.23237306,0.16349036
1011009102,0.23118904,0.22596861
1011009103,0.22877043,0.23626795
1011009104,0.22723353,0.19051284
1011009105,0.32288113,0.3307677
1011009106,0.25680196,0.24963199
1011009107,0.1932962,0.15940614
1011009108,0.19758461,0.2456969
1011010101,0.20730023,0.18513398
1011010102,0.18716808,0.17385106
1011010103,0.23990573,0.25835377
1011010104,0.29719576,0.2905027
