variables,imp_1,imp_2,imp_3
census_hhsize,0.018994732,0.013840052,0.05143312
census_age_hh,0.013036428,0.010739569,0.016010962
census_male_hh,0.01618113,0.025485937,0.035716213
census_piped_water,0.0,0.008803959,0.014651098
census_no_piped_water,0.01166395,0.0,0.0
census_no_sewage,0.015584583,0.016414672,0.011889762
census_sewage_pub,0.0020225134,0.008732441,0.02769613
census_sewage_priv,0.0019220223,0.011415521,0.014109937
census_electricity,0.017047852,0.016145969,0.017817736
census_telephone,0.009834028,0.008260695,0.0093178805
census_cellphone,0.34406367,0.22781292,0.17201264
census_internet,0.10130085,0.071614854,0.05891105
census_computer,0.07651684,0.087841734,0.19993141
census_washmachine,0.06933805,0.09370209,0.041268878
census_fridge,0.04045444,0.023385415,0.03290797
census_television,0.19940926,0.2343263,0.061728634
census_share_under15,0.0,0.0488633,0.007462276
census_share_elderly,0.00985011,0.014718423,0.009539906
census_share_adult,0.044080958,0.049685393,0.16516313
census_max_tertiary,0.0,0.007784882,0.01996439
census_max_secondary,0.008698563,0.009117913,0.022492304
census_share_female,0.0,0.011308001,0.0099745635
