variables,imp_1,imp_2
HID_hhsize,0.019929847,0.014382628
HID_age_hh,0.011645527,0.0090869
HID_male_hh,0.012081738,0.0063949204
HID_piped_water,0.0056628427,0.0019680285
HID_no_piped_water,0.006597222,0.008729928
HID_no_sewage,0.005155988,0.0054058214
HID_sewage_pub,0.013781763,0.043051574
HID_sewage_priv,0.00653465,0.007104804
HID_electricity,0.0036104564,0.0040011257
HID_telephone,0.007718581,0.0058842865
HID_cellphone,0.34297743,0.24559683
HID_internet,0.039116707,0.22359505
HID_computer,0.1311711,0.07804045
HID_washmachine,0.031145584,0.028933864
HID_fridge,0.024737047,0.088633046
HID_television,0.090882495,0.055372454
HID_share_under15,0.008079274,0.007850748
HID_share_elderly,0.00714043,0.005958297
HID_share_adult,0.2129638,0.13211416
HID_max_tertiary,0.0075718816,0.0050270297
HID_max_secondary,0.005355894,0.012314861
HID_share_female,0.0061396523,0.010553261
