variables,value
census_cellphone,.1609771193484776
census_television,.1061754059307277
census_computer,.0923825231250376
census_internet,.0788044998478144
census_washmachine,.0702030446175486
census_share_adult,.0390966152418405
census_fridge,.0326741727422923
census_male_hh,.0134418506100774
census_hhsize,.0127161074621836
census_no_sewage,.010842803736683
census_share_under15,.0103709774375311
census_share_elderly,.0090557965692133
gis_ndwimean,.008982247762382
census_age_hh,.0089614906966453
gis_srstddev,.0085309189588297
census_max_secondary,.0084015981186021
gis_bumax,.0073662056219764
gis_uimax,.0071916500203661
census_max_tertiary,.0066888096709736
gis_mdepmean,.0063132594940253
gis_brbamean,.0061046798699535
census_telephone,.0060811078067054
gis_evimin,.006003924485296
census_share_female,.0057781939995475
gis_brbamin,.0057464626886649
gis_baeimax,.0057104445970617
gis_ndvimax,.0049267511472572
gis_mdeamin,.0046596738852095
gis_savimean,.0046360218934715
gis_mdepmax,.0045402865883661
census_electricity,.0045053101046706
gis_varimean,.0044341197325848
gis_baeimin,.0043761672673281
gis_arvimean,.0043466821711045
gis_srmean,.0043126514767064
gis_varimin,.0042812364440761
gis_evistddev,.0041775969581213
gis_srmax,.0041561548487516
gis_baeimean,.0041088704420254
gis_mdepsum,.0040488411714323
census_piped_water,.0040256409488679
gis_mndwimean,.0039910701593126
census_sewage_pub,.0039787496850331
gis_mdeastddev,.0039397393321851
gis_arvimin,.0038345863681752
gis_ndwistddev,.003808169717202
gis_mdeamax,.0037850981879164
gis_mdeamean,.0036734767814633
gis_nbistddev,.0036030803914182
gis_ndwimin,.0035918481268454
gis_varistddev,.0035221566376858
gis_evimax,.0034810361899436
census_no_piped_water,.0034254777099159
gis_bimax,.0033822095805081
gis_brbastddev,.0033728027025354
gis_ndvimin,.003370945889219
gis_ndbimean,.0033378817288612
gis_bimean,.0032746676009265
gis_mdepstddev,.0032367777023464
gis_ndvimean,.0031551775792614
gis_brbamax,.0031106723538833
gis_ndbimax,.0031034224448958
gis_nbaimin,.0030994156914239
gis_ndwimax,.0030974019889254
gis_nbimean,.0029900104657281
gis_ibimax,.0029758406531764
gis_mndwistddev,.0029392819409259
gis_nbaimax,.0028756971359253
gis_uimean,.0028497944436967
gis_uistddev,.0028464328658301
gis_nbimin,.0027999980935128
gis_uimin,.00275728609832
gis_varimax,.0026621455696877
gis_mndwimax,.0026158142149216
gis_ibimin,.0025911292639794
gis_ndvistddev,.0025407932321541
gis_ibimean,.0025124113910133
gis_arvistddev,.0025024501105072
gis_evimean,.0024926063755993
gis_arvimax,.0024904971600918
gis_bustddev,.0024722320621368
gis_mdeasum,.002461473858566
gis_baeistddev,.002426791892969
gis_bistddev,.0024192658358952
gis_bumean,.0024131748091895
gis_srmin,.0023839414420072
gis_savimax,.0023300772546791
gis_varisum,.0023033024303149
census_sewage_priv,.002301127766963
gis_ndsimean,.0022722987411544
gis_nbimax,.002265862789005
gis_brbasum,.0022200635587797
gis_baeisum,.0021848185916315
gis_ndbimin,.0021456704052398
gis_ndbistddev,.0021318683705758
gis_bimin,.0021241089236137
gis_mndwimin,.0021165987748245
gis_nbisum,.0018931369148195
gis_bumin,.0018608487487072
gis_savimin,.0018567755105905
gis_ndbisum,.001813720604172
gis_savistddev,.0017459982577711
gis_ibistddev,.0016600516780745
gis_bisum,.0016358410285757
gis_ibisum,.0014261506132316
gis_ndmimean,.0013917671400122
gis_arvisum,.0013118494322698
gis_nbaisum,.0013053896329366
gis_ndsimax,.0012732759802602
gis_mndwisum,.0012709912289865
gis_uisum,.0012422349234112
gis_ndmimin,.0011796399960294
gis_ndsistddev,.0011481115866918
gis_srsum,.0011064730803482
gis_nbaimean,.0010777596220723
gis_osavistddev,.0010369963275734
gis_busum,.0010232011529151
gis_ndwisum,.0010034305849113
gis_osavimax,.0009865760090761
gis_osavimean,.0008813295196742
gis_evisum,.0008170435401844
gis_osavimin,.0007883789197076
gis_ndvisum,.0007457213536836
gis_ndmimax,.000723868456902
gis_ndsimin,.0006389850619016
gis_ndmistddev,.0006206743256189
gis_nbaistddev,.000598633514659
gis_ndmisum,.0004519624849781
gis_ndsisum,.0003183653596789
gis_savisum,.0002660239064135
gis_osavisum,.0001644058064558
gis_mdepmin,5.74387283996e-06
