muni,pov_rank,pop_rank,_population,value,measure,variable,model_t,dtype,level,min,gap
1011001,47,50,1,-.0010416612,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011002,25,41,1,-.022155572,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011003,27,41,1,-.018330423,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011004,27,27,1,-.019727414,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011005,45,46,1,.011116505,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011006,38,44,1,.011810081,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011007,28,44,1,-.045449287,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011008,31,16,1,-.0080354633,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011009,29,32,1,.031198859,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011010,28,30,1,.037432164,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1011011,43,44,1,.002777006,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1021001,47,49,1,.015616872,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1021002,49,50,1,.020583687,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1021003,49,45,1,.022855595,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1021004,50,50,1,.02596092,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1021005,48,41,1,.015014109,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1031001,44,38,1,.014180575,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1031002,50,34,1,.0426948,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1031003,50,48,1,.039390985,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1031008,50,49,1,.033719953,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1031009,48,23,1,.025789354,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041001,28,42,1,.015288916,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041002,37,48,1,-.032429341,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041003,44,48,1,-.0074434574,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041004,27,47,1,.0413028,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041005,32,36,1,.069981433,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041006,9,41,1,.035218976,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041007,18,17,1,-.042334098,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1041008,29,21,1,-.011311335,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
