sim_sample,gb_census_mun,gb_gis_mun,gb_all_mun,gb_census_psu,bart_census_mun,bart_gis_mun,bart_all_mun,bart_census_psu,rf_census_mun,rf_gis_mun,rf_all_mun,rf_census_psu,lasso_census_mun,lasso_gis_mun,lasso_all_mun,lasso_census_psu,ols_census_mun,ols_gis_mun,ols_all_mun,ols_census_psu,eb,uc
1,.1932904,.1981335,.1933913,.1933527,.1932199,.197709,.1932981,.1934076,.1935546,.1965285,.1934098,.1934315,.1934907,.2002801,.1933892,.1935574,.1995367,.1991925,.1938986,.1960009,.193246,.1933994
2,.1935596,.1967999,.1934023,.1934058,.1933763,.1973124,.1931886,.1931623,.1932615,.1971267,.1933316,.1932733,.1936571,.2004159,.193722,.1935358,.1977053,.1999567,.1941878,.1954721,.1929144,.1929766
3,.1937239,.1987246,.1937456,.1936435,.1933947,.1979562,.1934554,.1933932,.1936349,.1981293,.1936827,.1933941,.1936048,.200582,.1937616,.1939002,.1969201,.1992015,.1938396,.1959529,.1931567,.1939133
4,.1931856,.1979069,.1931471,.1934644,.1930766,.1977467,.1932175,.1933448,.1931159,.1965761,.1930672,.1934179,.1936049,.2019374,.1937714,.1939142,.1971733,.1997837,.1938701,.1959778,.1933219,.1934393
5,.1936499,.1978187,.1936031,.1932845,.1935168,.19788,.1933957,.1932358,.193369,.198081,.193365,.1933983,.1936863,.2003897,.1933375,.1939403,.1985502,.1989441,.1934414,.1957673,.1930719,.1929664
6,.1934459,.1972841,.1935724,.1932731,.1930299,.1975571,.1932959,.1931979,.1932812,.197737,.193764,.1935149,.1932757,.2020816,.1933367,.193526,.196756,.1997848,.1932253,.1954296,.1935837,.1934765
7,.1934158,.1983943,.193609,.1933938,.1931855,.1981632,.1933095,.1933143,.1929847,.1969558,.1934908,.1934303,.1936952,.2008277,.1936296,.1936084,.197891,.1990822,.1941879,.19646,.193085,.1936595
8,.1936254,.1976611,.1935223,.1934986,.193459,.1973976,.1933382,.1933429,.1933482,.1971629,.1936611,.1932308,.1939836,.201002,.1938449,.1936411,.1969961,.1995071,.1937205,.1952289,.1932695,.193848
9,.1932481,.1981007,.1934164,.1932268,.193649,.1979928,.1933227,.1933416,.1933358,.1965824,.1932654,.1934495,.1936382,.2021174,.1936634,.1938154,.197062,.1996435,.1940327,.1955407,.1931012,.1935263
10,.1935072,.1984625,.1935384,.1933931,.1930934,.1979839,.1931925,.193584,.1935192,.196656,.1933098,.193614,.1933953,.2014507,.1932198,.1934686,.197455,.1991449,.1939373,.1957822,.1935135,.1934244
11,.1936028,.1983703,.1934179,.1931454,.1934187,.1979281,.1935441,.193259,.1932971,.1966286,.1935282,.1931915,.1936129,.2012163,.1933936,.1936904,.1967059,.1992282,.1937637,.1959017,.1932759,.193315
12,.1935976,.1982582,.193489,.1934577,.1934164,.1972358,.1934108,.193301,.1932606,.1969293,.193345,.1935075,.1934964,.2022416,.1936918,.1940194,.1976447,.1992234,.1939091,.1959713,.1932086,.1943745
13,.1935616,.1965431,.1933012,.1933746,.1932229,.1969707,.1932338,.1933407,.1930265,.1979552,.1931422,.1931989,.1937622,.2006907,.1937159,.1936905,.1967455,.1989678,.1935024,.1952252,.1929158,.1931398
14,.1937619,.1967847,.1935497,.1932314,.1932493,.1973064,.1934076,.1929765,.193225,.1970038,.1937044,.1930837,.1933743,.2019536,.1934195,.1935271,.1978604,.1994842,.1940306,.1958968,.1932078,.1934296
15,.1933596,.1978076,.1934966,.1934154,.1933463,.1975034,.1934739,.1935996,.1935941,.1981439,.1939701,.1933844,.1935985,.2018049,.1933471,.1938062,.1971322,.1987897,.1941114,.1957569,.193495,.1933422
16,.193599,.1973892,.1932852,.1929319,.1932593,.1971567,.1934086,.1931869,.1934668,.1959447,.1933521,.1932708,.1932345,.2009292,.1932165,.1935018,.1979545,.1997108,.1939556,.1958553,.1931784,.1934053
17,.1934838,.1969875,.1932423,.1933912,.1934872,.1979661,.193252,.1932765,.1935974,.1973761,.1935664,.1932494,.1936821,.2000995,.1935706,.1934956,.1968125,.1997006,.1940892,.1953054,.1932899,.1935196
18,.1936613,.198411,.1937086,.1934746,.1937137,.19848,.1938035,.1933358,.1936515,.197754,.1937688,.1934072,.1934381,.2012146,.1935093,.1939707,.1982751,.1996719,.1940266,.1966786,.1931963,.193304
19,.1937085,.1972583,.1935384,.1936019,.1932821,.197234,.1934158,.1933895,.1933581,.1982385,.1934023,.1935314,.1935747,.2010601,.193602,.1938727,.1977517,.2000794,.1944204,.1953581,.1931138,.1930666
20,.1936757,.1983736,.1938753,.1933829,.193488,.1975045,.1935898,.1933338,.1940378,.1964548,.1938286,.1935239,.1935062,.2018281,.1934812,.1935193,.1974072,.1991474,.1935878,.1960785,.1935925,.1937051
21,.1935309,.1983996,.1939277,.193618,.1935554,.1977547,.1935239,.1932176,.1934977,.1971657,.1938815,.1932696,.1935444,.2007035,.1935747,.1934451,.196145,.199699,.1941794,.195908,.1933032,.1933056
22,.1934466,.1971396,.1935478,.1932645,.1934801,.1974437,.1932401,.1933407,.1933231,.1976715,.1936586,.1932642,.1932667,.2015097,.1933893,.1935142,.1980686,.1995178,.1936056,.1959016,.1933244,.1934495
23,.1935348,.1973934,.1935148,.1933273,.1930568,.1976994,.1933824,.1933633,.1930442,.1970299,.1938747,.1933169,.1933022,.2021239,.1936151,.1936054,.1966106,.1997626,.1941991,.195885,.1930642,.1935083
24,.1935275,.198702,.1937836,.1933712,.1931704,.1983458,.1935682,.1932662,.1933299,.1971239,.1938832,.1933959,.1933635,.2018794,.1934239,.1935819,.1966452,.1990591,.193836,.1960634,.1932661,.1934253
25,.1936276,.1974761,.1937336,.1931815,.1931395,.1970921,.1934416,.1931557,.1932137,.1971652,.1934208,.1930708,.1935675,.2019992,.1936158,.1935617,.1979492,.1994966,.1935902,.1955326,.1930533,.1939419
26,.1930228,.1966067,.1933957,.19326,.1931998,.1969698,.1930281,.1931621,.1931457,.1974319,.1931591,.1932729,.1932971,.2016246,.1931914,.193449,.1968199,.1992235,.1935754,.1957406,.1928138,.192796
27,.193133,.1985071,.1934352,.1933422,.1932238,.1980131,.193124,.1933022,.1929959,.1979082,.1933743,.1932999,.1933192,.2007604,.1932611,.1937243,.1964055,.1990629,.1930483,.1962219,.1933403,.1938626
28,.19319,.1971712,.1933838,.1931859,.1931323,.1970489,.1932558,.1932093,.1931538,.1967177,.1933594,.1931871,.1932779,.2019524,.1934792,.1935387,.1965612,.198985,.1939438,.196078,.192951,.1929497
29,.1939515,.1981403,.1939984,.1933283,.1935551,.1979635,.1937794,.1933233,.1937685,.1974752,.1939961,.1932915,.1935351,.2018802,.1934895,.1935567,.1974039,.1996568,.1939532,.1949158,.1929204,.1936064
30,.1929876,.1967642,.1936025,.1930183,.1927814,.1972223,.1933287,.193018,.1927816,.196373,.1932371,.1930366,.1934272,.2012181,.1934564,.1935772,.195651,.1998692,.1934784,.1958894,.1932402,.1933163
31,.1935834,.1982645,.1938049,.1933457,.1934091,.1975126,.1937252,.1931499,.1936288,.1963917,.1932996,.193242,.1936519,.2008388,.1938332,.1935872,.1994083,.1997948,.194324,.1963223,.1934652,.1933994
32,.1931719,.1986437,.1934753,.1934895,.1934487,.1976734,.1935129,.1933985,.1933873,.1988647,.1938189,.1934534,.1937179,.2007649,.1935471,.1939762,.1977027,.1995677,.1940037,.1950824,.1929992,.1935451
33,.1936148,.1977689,.1939264,.1933636,.193391,.1976291,.1932224,.1932999,.1933677,.1965912,.1932246,.1932876,.1935344,.20173,.1936212,.1936367,.1972529,.1999269,.1941099,.1958453,.1931364,.1935283
34,.1931861,.1989609,.193648,.1931732,.1932742,.1976877,.1934684,.1931779,.1933275,.1986974,.1933666,.1934586,.1935875,.2005329,.1935199,.1937114,.1968859,.199641,.1939096,.1959146,.1930305,.1931737
