sim_sample,gb_census_mun,gb_gis_mun,gb_all_mun,gb_census_psu,bart_census_mun,bart_gis_mun,bart_all_mun,bart_census_psu,rf_census_mun,rf_gis_mun,rf_all_mun,rf_census_psu,lasso_census_mun,lasso_gis_mun,lasso_all_mun,lasso_census_psu,ols_census_mun,ols_gis_mun,ols_all_mun,ols_census_psu,eb,uc,hyperopt_census_mun
1,.2002596,.2039586,.2001008,.200109,.2001041,.2035902,.2001678,.2001574,.2003177,.2027034,.2001947,.2003871,.2003261,.2056814,.2002227,.2003333,.2044478,.2046851,.2004617,.2021997,.200027,.2000356,.2002596
2,.2003065,.2029192,.2003464,.2001583,.2002885,.2033386,.2001785,.200029,.2000802,.203351,.2002029,.2001093,.2003871,.2057119,.2003552,.200372,.2033378,.2053282,.2007351,.2019338,.199676,.1998134,.2003065
3,.2003184,.2044083,.2004284,.2003392,.2001072,.2037221,.2002276,.2002254,.2004025,.2039372,.200434,.2001728,.2004082,.2058007,.2004357,.2005949,.2025773,.2045031,.2003578,.2021006,.1997769,.2005489,.2003184
4,.1999696,.2037393,.1999467,.2002215,.1999205,.2033972,.2001196,.2001142,.1998903,.2029135,.2001096,.2001811,.2003545,.2065788,.2003325,.2005873,.2026972,.2054099,.2005107,.2021927,.2000948,.2001637,.1999696
5,.2003158,.2036623,.2002638,.1999869,.2003129,.2034338,.200158,.200022,.2001595,.2037862,.2001656,.2000355,.20034,.205742,.2001886,.2005035,.2035375,.2044614,.2001663,.2018378,.1998287,.1998283,.2003158
6,.2000612,.2031936,.2002532,.2002164,.1997804,.2035071,.2000612,.200135,.1999604,.2035941,.2003686,.2003048,.2002023,.2068782,.2002368,.2002867,.2026222,.2050421,.2000892,.2015835,.2001669,.2000757,.2000612
7,.2002382,.2040079,.2003092,.2001271,.2000379,.2040121,.2001798,.200038,.2000722,.2031253,.2004254,.2003191,.2003395,.2060308,.2003849,.2003696,.2031782,.2046723,.2007345,.2024717,.1997378,.2003537,.2002382
8,.2003461,.2034325,.2004985,.2002905,.2001149,.2032727,.200078,.2001306,.2002005,.2032817,.2003426,.2001664,.2005898,.2063015,.2004142,.2003786,.2026722,.2049408,.2002765,.2017046,.1999367,.2003472,.2003461
9,.2000951,.2038804,.2001447,.2000782,.2003424,.2037333,.1999521,.200148,.2000146,.2028433,.1999032,.200217,.2003361,.2068439,.2002935,.2005695,.2029294,.2049727,.2006277,.2018524,.1998096,.2000573,.2000951
10,.2002511,.2041586,.2001806,.2002784,.2000665,.203653,.2000033,.2003714,.2003016,.2026729,.2000382,.2002888,.2001827,.2062645,.2000063,.200236,.2030508,.2048246,.2005617,.2019064,.2001968,.2000814,.2002511
11,.2003596,.2040648,.2001965,.2000829,.2000274,.203636,.2002653,.2000078,.2002324,.2027815,.2003231,.2001416,.2003506,.2060285,.2001778,.2004301,.2025439,.2047262,.2003815,.2020934,.1999775,.2001025,.2003596
12,.2001673,.2039855,.2003663,.2001238,.2001522,.2031825,.2001566,.2001477,.2000724,.2028616,.2000756,.2002051,.2001833,.2070384,.2003727,.2006683,.2030267,.2047325,.2004877,.2019937,.1999076,.2005268,.2001669
13,.2002365,.2025962,.2001738,.2001522,.2000251,.2029927,.2001638,.2001651,.1998574,.2037345,.2001151,.2000103,.2003907,.2058913,.2003469,.2004481,.2025092,.204512,.2002656,.2015032,.1997673,.1998977,.2002365
14,.200397,.202898,.2003232,.2000605,.1999513,.2032234,.2000671,.199921,.2000958,.2029075,.2002885,.200005,.2002465,.2067932,.2002771,.2003339,.2034631,.2048438,.2006346,.2021306,.1999787,.2000549,.200397
15,.2002553,.2037733,.2003041,.2002618,.2001487,.2035144,.2003057,.2003255,.2003155,.2039404,.2007241,.2003422,.2002865,.2067667,.2002604,.2004299,.2030418,.204426,.2007631,.2020111,.2001834,.2001346,.2002553
16,.2003552,.2034177,.2001509,.200015,.2002017,.2032929,.2002335,.2000438,.2002503,.2023827,.2001562,.2000332,.200082,.2059832,.2000523,.2004019,.2033808,.2049702,.2004657,.2021057,.1999145,.2001441,.2003552
17,.2003029,.2030212,.2000087,.2002094,.2001053,.2037679,.1999086,.2000774,.2003898,.2031835,.200273,.2000887,.200369,.2052411,.2003547,.2002399,.2026695,.2049442,.200677,.2017865,.1998374,.2002118,.2003029
18,.2002789,.204054,.2004662,.2002568,.2004026,.2039579,.2003975,.2000739,.2004361,.2037559,.2004239,.2003117,.2002663,.2061149,.2003542,.2006027,.2033617,.2051046,.2006959,.2026818,.1999634,.1999569,.2002789
19,.2004039,.2032671,.2002553,.2002097,.2000909,.203188,.2001219,.2001263,.2000394,.2040449,.2001718,.2002875,.2002271,.2061703,.2002821,.2005234,.2035112,.2054469,.2010016,.2017916,.1998447,.199909,.2004039
20,.2002769,.204003,.2004997,.2001065,.2002787,.2034881,.2003966,.2001868,.2005221,.2027444,.2007005,.2003165,.2002172,.2066596,.2002316,.2003286,.2031104,.2046573,.200429,.2021936,.200187,.2001329,.2002769
21,.2003259,.204089,.2005224,.200417,.2003485,.2036987,.2003595,.2001237,.2002725,.2032382,.2006037,.2001601,.2003114,.2057485,.2002989,.2002837,.2020755,.2051163,.2007999,.2022211,.2000629,.2000439,.2003259
22,.2003187,.2031218,.2002999,.2001652,.2003037,.2035038,.2001862,.2003898,.2002512,.2035454,.2004154,.2002093,.2003171,.2063961,.2001636,.200365,.2034822,.2048285,.200354,.2021391,.1999718,.200143,.2003187
23,.2003187,.203459,.2003274,.2002202,.2000085,.2034627,.2001527,.2002866,.2000888,.2030987,.2006538,.2001258,.2001909,.2067402,.2003457,.2004441,.2024543,.205276,.2008205,.2020667,.1999427,.2001965,.2003187
24,.2001681,.2043125,.2004713,.2002087,.1999983,.204057,.2002963,.2002245,.2000411,.2031573,.2004888,.2000899,.2002095,.2067595,.2002243,.2003751,.2026095,.2045038,.2005748,.2022284,.1997812,.2001574,.2001681
25,.2003536,.2034271,.2004188,.2000743,.2001304,.2031209,.2002856,.2000733,.2002347,.2029729,.2004115,.1999782,.20024,.2069473,.2003559,.200349,.2032155,.2051018,.2003909,.2019177,.1998002,.2003845,.2003536
