variables,imp_1,imp_2,imp_3,imp_4,imp_5,imp_6,imp_7
census_hhsize,0.010927717028227662,0.015676195989832893,0.009756425524865,0.03269396403056178,0.034898615004709324,0.009796519656938785,0.026626615651769697
census_age_hh,0.004172028974258617,0.012656367721612882,0.011540843833304932,0.020441516226521354,0.007887410333561225,0.015488597476829348,0.012270054009315868
census_male_hh,0.010441981948227432,0.009443347627913596,0.020232606537646327,0.02450058125591347,0.008368845298461006,0.005758076727175243,0.013372317409816223
census_piped_water,0.0027194075806163424,0.00420948506337645,0.00425475466080654,0.011280554821720447,0.009592234048900968,0.004988193326195695,0.007296326566290466
census_no_piped_water,0.0015204308250923758,0.00455068364872037,0.005479475123078452,0.012180249417205177,0.00861918884963855,0.004627777524377991,0.007133487095344618
census_no_sewage,0.005239739003784192,0.008828367354971105,0.01479562712850841,0.0204428767637,0.012525449762604605,0.009318355090600576,0.025877831656107225
census_sewage_pub,0.000544077406235115,0.004350829252815953,0.004671593090842443,0.014929729652746396,0.010569460052726649,0.004109025804075033,0.010847119923352262
census_sewage_priv,0.001198244049215074,0.0071150567215533395,0.006084256454432197,0.014081719701400493,0.00981000735948504,0.0030980000556604047,0.010469728499210214
census_electricity,0.003668381177356289,0.015956940532797958,0.01404347833722419,0.017620712100695015,0.01657031232928894,0.00800774446179992,0.014629992073089907
census_telephone,0.0027328977515009107,0.008162586674082659,0.0077857208038457386,0.019251285958892105,0.010746027624450134,0.008027909983590039,0.0077634455925166
census_cellphone,0.31716888070427623,0.21840788076890316,0.549663401009346,0.14136201913571494,0.2150668084575852,0.17638308013379878,0.21260805614786188
census_internet,0.1404891773699544,0.11994107717862601,0.04678821020257308,0.10522622591542057,0.0979843462660634,0.08018536774018485,0.11220882489423016
census_computer,0.18822264386205984,0.07872475732603687,0.04080245641577906,0.18987579188966702,0.12642678333335625,0.297946179273307,0.09319492711959415
census_washmachine,0.0640363123078379,0.06288156125410443,0.04470303424829262,0.06252123857281161,0.061118307282113545,0.09851241264233712,0.07059445741239867
census_fridge,0.015384973422434611,0.018078108968424548,0.037975704789335644,0.09339755090330838,0.11463619360251485,0.04341780197790046,0.06876896081885552
census_television,0.16838456928759643,0.2902787722160472,0.06967214789264696,0.0716312565908633,0.10589018066133735,0.1429681670451962,0.11237744503197025
census_share_under15,0.003993457008163444,0.01228014271861956,0.008178168368565135,0.01901257302816696,0.018389462427123998,0.01614501364561203,0.02647144284886022
census_share_elderly,0.004571284075733702,0.007568550085629238,0.013656983586540732,0.018415960297526703,0.015307166444452135,0.0074747414775121835,0.022885648597151323
census_share_adult,0.042722498106854884,0.07449909611796952,0.030271779771966885,0.0617731424365079,0.08140878227623935,0.038768181285618195,0.10987797302771447
census_max_tertiary,0.00541359333661191,0.008019080753525925,0.015093588203501871,0.018836048581000672,0.01555052227574831,0.0075302414597002345,0.010620321513549481
census_max_secondary,0.0034383823330364927,0.009819691241323366,0.02761729339321722,0.013498019739986033,0.009003482358826552,0.008080147083446879,0.0141511559487451
census_share_female,0.0030093224409261897,0.008551420783112882,0.016932450623680543,0.017026982979669893,0.009630413950812686,0.009368466128142988,0.009953868162255675
