variables,imp_1,imp_2,imp_3,imp_4
HID_hhsize,0.014866635787791148,0.018997909301754035,0.021577952712926153,0.010918846469580957
HID_age_hh,0.016683222574301756,0.01332820367901796,0.015556005976838849,0.009916945354241735
HID_male_hh,0.012987262606707517,0.012490756255091811,0.015583281915419278,0.010346047592510321
HID_piped_water,0.007894135425538358,0.007861601827343486,0.007251591130944439,0.0020849880194760777
HID_no_piped_water,0.004553011632759677,0.007209992973996574,0.004136770052906017,0.0019787986835230974
HID_no_sewage,0.009985018360501459,0.027286308462912513,0.010049752119575792,0.009344168525221944
HID_sewage_pub,0.0052925691124874625,0.00772358899722491,0.0043046411701094045,0.004217565437106423
HID_sewage_priv,0.00469966003032629,0.008801754675252961,0.004700614626339023,0.003267685492697192
HID_electricity,0.007578019377881508,0.013521372615250188,0.011471656783908952,0.007139342409163678
HID_telephone,0.009562848269698084,0.013639168741841779,0.008115810557341018,0.005767290835366941
HID_cellphone,0.2681526279842991,0.2111841764091719,0.5246132764259485,0.29779147564557373
HID_internet,0.11240668347709355,0.15153927480663082,0.0637269540033166,0.1170471719324387
HID_computer,0.2016470085847697,0.12140802393067543,0.05743581373649215,0.2290877599516768
HID_washmachine,0.04629693738495681,0.04849757339736317,0.059689083664712095,0.052942357512602296
HID_fridge,0.05126330431671147,0.11284268610377295,0.05651918804507268,0.06845499691272104
HID_television,0.1385561898165556,0.12341194392946302,0.054837619908569,0.10595798694639386
HID_share_under15,0.008302169502877849,0.015393558562432314,0.008248937108875606,0.007369787319325617
HID_share_elderly,0.014510405990961258,0.012037291550230787,0.008858393510576643,0.009132747418953757
HID_share_adult,0.03618076916208295,0.028970895141091062,0.02414330488146515,0.02764857136327291
HID_max_tertiary,0.010297139828620483,0.020706300453941798,0.01146978237246866,0.008098789622605912
HID_max_secondary,0.008949228291857791,0.01157406438514721,0.015380375613159993,0.005514275488952632
HID_share_female,0.009335152481220303,0.011573553800393434,0.012329193683034147,0.005972401066594296
